male.size,female.size
9.5,9.4
9.8,10.2
9.8,11.1
9.2,11
10.5,11.9
10.2,10.7
10.5,10.7
10.3,9.3
10.6,9.8
10.6,10
10.5,10.2
10.8,10.5
10.8,10.6
10.8,10.6
10.9,10.7
11.1,10.5
11.3,10.5
11.3,10.5
11.3,10.2
11.1,10.1
11.3,10
11.6,10
11.6,9.6
11.8,9.8
12,9.7
11.9,10.1
12,10.3
12.1,10.3
12.3,10.5
11.7,10.2
11.8,10.3
11.7,10.5
11.7,10.6
11.7,10.7
11.9,10.8
11.9,10.7
11.9,10.7
11.9,10.6
11.7,11
11.4,11
11.3,11
11.1,11
11.2,11.1
11.2,11.2
11.2,11.2
11.5,11.2
11.7,11.1
12,11.1
12,11.3
12,11.4
11.9,11.4
11.6,11.3
11.7,11.3
11.6,11.5
11.8,11.5
11.6,11.8
11.9,11.9
12,11.9
12.2,12
12.2,12
12.5,11.8
12.4,11.5
12.7,11.5
12,12.4
12.4,12.5
12.5,12.5
12.6,12.6
12.6,12.8
12.9,12.4
13,12.2
12.5,11
12,13.2
