prey.size,copulation.time
2.97,1.69
4.76,7.55
17.61,1.69
7.48,9.89
8.97,9.63
9.65,10.67
11.01,11.45
11.83,13.53
13.87,14.83
15.9,14.83
15.9,14.83
15.91,16.91
20.12,19.26
20.12,19.26
19.03,19.52
19.04,20.43
19.04,20.43
19.04,21.47
19.18,22.38
17.96,23.68
17.96,23.68
17.96,23.68
17.96,23.68
22.01,19.39
21.07,20.43
20.12,21.34
21.07,21.34
22.02,21.34
21.89,22.64
21.08,23.55
21.91,26.54
21.9,25.5
23.1,20.43
23.25,23.42
23.24,22.51
24.05,20.43
25.13,19.52
24.07,24.72
24.06,22.51
25.14,22.51
25.15,23.55
25.96,23.42
25.96,24.59
25.95,22.51
27.18,24.33
27.31,21.47
27.3,20.56
28,25.24
28.12,23.03
28.12,21.34
28.12,20.56
28.81,24.33
29.07,21.6
29.06,19.52
30.17,25.5
30.16,24.59
30.16,23.42
30.15,20.69
30.28,19.52
31.38,23.42
32.46,23.42
34.09,23.42
31.36,19.65
33.26,19.52
35.02,20.3
35.03,21.47
36.11,21.47
35.85,23.42
37.07,22.38
38.15,22.38
38.16,24.33
37.87,19.52
39.09,20.43
40.04,20.43
39.1,23.16
39.11,24.33
40.06,25.37
41.13,22.25
41.95,23.03
41.95,24.59
43.17,24.33
43.02,21.47
41.94,20.3
43.02,20.17
44.1,20.43
44.92,20.43
45.18,19.39
44.93,22.64
44.93,24.46
44.94,25.5
46.97,24.46
47.22,19.39
48.17,20.56
50.08,23.42
51.02,21.21
51.99,26.41
53.74,24.46
55.22,21.47
