copulation.time,sperm
0.5,0
0.5,0
1,0
1,0
2,0
2,0
2.9,0
4.1,7
4.1,37
5.1,74
5.1,44
5.1,7
6,179
6,149
6.5,247
7,262
7,360
7,360
7.9,352
7.9,420
8.4,435
8.8,472
8.8,525
8.4,548
9.4,608
10,607
10,668
10,705
10.4,818
10.9,788
10.9,713
11.9,840
11.4,908
12.9,953
12.4,1028
13,1051
12.9,1103
13.4,1163
13.8,1163
13.8,1224
14.9,1321
15.5,1411
16.4,1426
15.9,1532
16.8,1531
17.4,1509
16.8,1614
18.4,1636
17.9,1712
17.8,1764
18.8,1719
19.3,1757
19.4,1817
19.9,1832
20.3,1892
19.8,2140
20.7,2336
21.8,2238
22.9,2064
22.9,2012
23.9,1944
24.9,1868
24.8,2154
23.8,2313
25.9,2109
26.8,1958
28.7,1950
27.9,2199
31.9,2025
34.7,2325
36.9,2084
38.9,2084
