female.trait,phallus.length,number
Pouches,2.4,0
Pouches,3.1,0
Pouches,3.5,0
Pouches,4.3,0
Pouches,1.1,1
Pouches,3,1
Pouches,4.2,1
Pouches,5.3,1
Pouches,6.7,2
Pouches,9.8,0
Pouches,12.7,1.5
Pouches,15,2
Pouches,13.2,2.5
Pouches,13.9,3
Pouches,15.6,3
Pouches,18.8,3
Spirals,2.5,0
Spirals,3.1,0
Spirals,3.6,0
Spirals,1.2,2
Spirals,3,1
Spirals,4.2,2.5
Spirals,4.3,2
Spirals,5.3,2
Spirals,6.7,3.5
Spirals,10,0
Spirals,13.2,3.5
Spirals,15.5,5
Spirals,15,6
Spirals,12.6,7
Spirals,13.8,8
Spirals,18.7,8
