sex,mates,offspring
male,0,0
male,1,3
male,1,7
male,1,17
male,1,34
male,1,52
male,1,63
male,1,96
male,1,105
male,1,116
male,1,127
male,1,219
male,1,295
male,2,286
male,2,225
male,2,160
male,2,151
male,2,105
male,2,83
male,2,68
male,2,48
male,2,32
male,3,157
male,3,311
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
male,0,0
female,1,33
female,1,58
female,1,65
female,1,125
female,1,131
female,1,159
female,1,220
female,1,295
female,2,288
female,2,239
female,2,231
female,2,210
female,2,195
female,2,180
female,2,147
female,2,138
female,2,132
female,2,116
female,2,104
female,2,79
female,2,55
female,3,332
female,3,184
female,3,168
female,3,125
female,3,93
female,3,81
female,4,276
female,5,211
