group,trait,value
Parentals,Mass,90.714
Parentals,Mass,103.481
Parentals,Mass,116.074
Parentals,Mass,112.949
Parentals,Mass,108.546
Parentals,Mass,111.315
Parentals,Mass,89.337
Parentals,Mass,101.653
Parentals,Mass,110.585
Parentals,Mass,98.423
Parentals,Mass,118.8
Parentals,Mass,120.672
Parentals,Mass,123.451
Parentals,Mass,124.666
Parentals,Mass,120.627
Parentals,Mass,127.451
Parentals,Mass,127.129
Parentals,Mass,125.563
Parentals,Mass,131.335
Parentals,Mass,135.688
Parentals,Mass,134.708
Parentals,Mass,131.907
Parentals,Mass,133.408
Parentals,Mass,141.781
Parentals,Mass,140.822
Parentals,Mass,139.877
Parentals,Mass,136.468
Parentals,Mass,135.237
Parentals,Mass,130.27
Parentals,Mass,134.276
Parentals,Mass,137.987
Parentals,Mass,138.596
Parentals,Mass,140.137
Parentals,Mass,141.679
Parentals,Mass,142.914
Parentals,Mass,144.819
Parentals,Mass,132.377
Parentals,Mass,130.804
Parentals,Mass,132.968
Parentals,Mass,127.647
Parentals,Mass,128.893
Parentals,Mass,132.296
Parentals,Mass,136.327
Parentals,Mass,137.881
Parentals,Mass,138.203
Parentals,Mass,136.352
Parentals,Mass,140.408
Parentals,Mass,145.065
Parentals,Mass,144.387
Parentals,Mass,147.81
Parentals,Mass,152.805
Parentals,Mass,157.458
Parentals,Mass,163.371
Parentals,Mass,162.385
Parentals,Mass,161.133
Parentals,Mass,161.734
Parentals,Mass,172.249
Parentals,Mass,148.678
Parentals,Mass,149.279
Parentals,Mass,152.077
Parentals,Mass,154.267
Parentals,Mass,160.42
Parentals,Mass,162.258
Parentals,Mass,178.208
Parentals,Mass,179.162
Parentals,Mass,185.063
Parentals,Mass,187.826
Parentals,Mass,157.876
Parentals,Mass,162.913
Sneakers,Mass,2.803
Sneakers,Mass,2.603
Sneakers,Mass,2.3
Sneakers,Mass,3.138
Sneakers,Mass,3.642
Sneakers,Mass,3.537
Sneakers,Mass,4.271
Sneakers,Mass,5.234
Sneakers,Mass,5.499
Sneakers,Mass,5.603
Sneakers,Mass,5.808
Sneakers,Mass,4.461
Sneakers,Mass,4.258
Sneakers,Mass,3.911
Sneakers,Mass,3.707
Sneakers,Mass,3.749
Sneakers,Mass,4.34
Sneakers,Mass,4.24
Sneakers,Mass,4.464
Sneakers,Mass,4.587
Sneakers,Mass,3.958
Sneakers,Mass,4.162
Sneakers,Mass,4.263
Sneakers,Mass,5.407
Sneakers,Mass,5.401
Sneakers,Mass,5.053
Sneakers,Mass,6.936
Sneakers,Mass,7.547
Sneakers,Mass,7.32
Sneakers,Mass,8.362
Sneakers,Mass,8.362
Sneakers,Mass,9.179
Sneakers,Mass,9.076
Sneakers,Mass,8.36
Sneakers,Mass,8.052
Sneakers,Mass,7.643
Sneakers,Mass,7.947
Sneakers,Mass,8.255
Sneakers,Mass,9.07
Sneakers,Mass,5.886
Sneakers,Mass,6.397
Sneakers,Mass,6.313
Sneakers,Mass,6.088
Sneakers,Mass,7.209
Sneakers,Mass,7.819
Parentals,GSI,0.088
Parentals,GSI,0.081
Parentals,GSI,0.096
Parentals,GSI,0.099
Parentals,GSI,0.107
Parentals,GSI,0.11
Parentals,GSI,0.105
Parentals,GSI,0.117
Parentals,GSI,0.124
Parentals,GSI,0.133
Parentals,GSI,0.105
Parentals,GSI,0.103
Parentals,GSI,0.105
Parentals,GSI,0.108
Parentals,GSI,0.109
Parentals,GSI,0.109
Parentals,GSI,0.11
Parentals,GSI,0.112
Parentals,GSI,0.087
Parentals,GSI,0.086
Parentals,GSI,0.092
Parentals,GSI,0.094
Parentals,GSI,0.1
Parentals,GSI,0.1
Parentals,GSI,0.104
Parentals,GSI,0.106
Parentals,GSI,0.105
Parentals,GSI,0.104
Parentals,GSI,0.105
Parentals,GSI,0.108
Parentals,GSI,0.109
Parentals,GSI,0.111
Parentals,GSI,0.112
Parentals,GSI,0.113
Parentals,GSI,0.114
Parentals,GSI,0.108
Parentals,GSI,0.113
Parentals,GSI,0.116
Parentals,GSI,0.117
Parentals,GSI,0.123
Parentals,GSI,0.123
Parentals,GSI,0.124
Parentals,GSI,0.124
Parentals,GSI,0.123
Parentals,GSI,0.122
Parentals,GSI,0.12
Parentals,GSI,0.117
Parentals,GSI,0.116
Parentals,GSI,0.124
Parentals,GSI,0.122
Parentals,GSI,0.118
Parentals,GSI,0.118
Parentals,GSI,0.115
Parentals,GSI,0.122
Parentals,GSI,0.124
Parentals,GSI,0.126
Parentals,GSI,0.13
Parentals,GSI,0.13
Parentals,GSI,0.133
Parentals,GSI,0.132
Parentals,GSI,0.129
Parentals,GSI,0.136
Parentals,GSI,0.138
Parentals,GSI,0.121
Parentals,GSI,0.118
Parentals,GSI,0.117
Parentals,GSI,0.12
Parentals,GSI,0.104
Parentals,GSI,0.094
Sneakers,GSI,0.158
Sneakers,GSI,0.186
Sneakers,GSI,0.21
Sneakers,GSI,0.221
Sneakers,GSI,0.175
Sneakers,GSI,0.151
Sneakers,GSI,0.146
Sneakers,GSI,0.176
Sneakers,GSI,0.172
Sneakers,GSI,0.187
Sneakers,GSI,0.192
Sneakers,GSI,0.197
Sneakers,GSI,0.202
Sneakers,GSI,0.203
Sneakers,GSI,0.201
Sneakers,GSI,0.209
Sneakers,GSI,0.205
Sneakers,GSI,0.219
Sneakers,GSI,0.214
Sneakers,GSI,0.221
Sneakers,GSI,0.25
Sneakers,GSI,0.253
Sneakers,GSI,0.245
Sneakers,GSI,0.251
Sneakers,GSI,0.204
Sneakers,GSI,0.196
Sneakers,GSI,0.237
Sneakers,GSI,0.225
Sneakers,GSI,0.212
Sneakers,GSI,0.221
Sneakers,GSI,0.218
Sneakers,GSI,0.226
Sneakers,GSI,0.213
Sneakers,GSI,0.198
Sneakers,GSI,0.191
Sneakers,GSI,0.179
Sneakers,GSI,0.168
Sneakers,GSI,0.176
Sneakers,GSI,0.171
Sneakers,GSI,0.166
Sneakers,GSI,0.169
Sneakers,GSI,0.156
Sneakers,GSI,0.147
Sneakers,GSI,0.14
Sneakers,GSI,0.119
