body.condition,tail.length
-0.15,8.344
-0.121,7.984
-0.15,13.899
-0.099,15.185
-0.08,12.099
-0.07,12.922
-0.06,14.979
-0.027,13.436
-0.008,11.893
0.021,8.292
0.022,14.877
-0.008,14.979
-0.026,17.603
-0.016,18.323
-0.011,18.374
-0.009,19.763
-0.007,20.381
0.043,18.889
0.021,20.535
0.02,20.844
0.035,20.741
0.043,21.049
0.05,20.226
0.064,20.844
0.066,21.718
0.06,21.718
0.081,22.13
0.084,22.593
0.089,22.078
0.07,22.541
0.07,22.85
0.07,23.364
0.077,23.93
0.055,23.313
0.056,22.798
0.058,22.85
0.055,22.387
0.05,22.233
0.043,22.541
0.04,22.181
0.026,21.77
0.029,21.975
0.031,22.541
0.032,23.056
0.043,23.158
0.047,23.981
0.031,23.879
0.031,25.73
0.03,25.988
0.063,25.525
0.087,25.679
0.092,26.296
0.07,27.479
0.079,27.942
0.097,28.457
0.111,27.942
0.021,27.788
0.011,25.267
0.015,24.907
0.022,23.158
0.021,22.541
0.016,23.056
0.015,22.078
0.014,21.409
0.002,21.821
0.002,22.695
0.006,23.004
-0.003,23.981
-0.005,24.702
-0.006,25.679
0,26.965
0.004,27.84
-0.014,26.811
-0.026,28.045
-0.054,27.171
-0.057,25.37
-0.082,25.782
-0.082,23.57
-0.077,22.695
-0.068,21.049
-0.068,21.409
-0.065,21.821
-0.064,22.644
-0.058,22.027
-0.048,21.872
-0.042,21.821
-0.04,22.13
-0.036,21.924
-0.039,21.049
-0.027,22.078
-0.024,21.718
-0.019,21.718
-0.016,24.29
-0.012,23.879
-0.014,23.621
-0.011,22.798
-0.015,22.695
-0.01,22.387
-0.006,21.718
-0.012,21.358
-0.01,21.152
-0.027,20.792
-0.016,19.815
-0.033,19.558
-0.039,18.683
-0.048,18.889
-0.049,19.043
-0.058,19.506
-0.081,18.94
-0.098,18.837
-0.11,19.763
-0.11,17.603
