morph.dist,mat.pref
0.014,0
0.098,0
0.148,0
0.214,0
0.222,0
0.248,0.026
0.25,0
0.278,0
0.338,0.014
0.584,0
0.63,0
0.716,0
0.816,0
0.64,0.135
0.564,0.105
0.282,0.089
0.258,0.079
0.19,0.077
0.01,0.072
0.036,0.126
0.13,0.168
0.174,0.203
0.251,0.224
0.343,0.31
0.347,0.291
0.305,0.308
0.263,0.378
0.179,0.354
0.187,0.324
0.091,0.24
0.055,0.263
0.011,0.266
0.049,0.352
0.117,0.401
0.141,0.452
0.207,0.441
0.273,0.424
0.277,0.48
0.253,0.541
0.291,0.552
0.229,0.597
0.203,0.592
0.203,0.573
0.257,0.62
0.237,0.643
0.247,0.704
0.212,0.73
0.181,0.688
0.198,0.755
0.214,0.755
0.182,0.772
0.128,0.734
0.141,0.657
0.097,0.641
0.079,0.671
0.149,0.571
0.109,0.536
0.081,0.52
0.067,0.513
0.071,0.545
0.047,0.58
0.023,0.538
0.005,0.483
0.023,0.485
0.061,0.459
0.025,0.431
0.003,0.422
0.011,0.38
0.511,0.24
0.579,0.338
0.673,0.326
0.519,0.406
0.551,0.415
0.539,0.445
0.483,0.422
0.547,0.513
0.611,0.462
0.663,0.457
0.585,0.564
0.581,0.615
0.248,0.795
0.011,0.671
0.008,0.83
0.038,0.89
0.112,0.869
0.118,0.86
0.116,0.923
0.132,0.909
0.148,0.97
0.154,1
0.184,0.998
0.232,0.998
0.232,0.984
0.21,0.923
0.298,0.998
0.386,0.918
0.458,0.998
0.004,0.998
0.016,0.998
0.028,0.998
0.04,0.998
0.034,0.998
0.01,0.998
