Experiment,Male Length,Female Length,Length Dimorphism,Copulating (min)
Copulation Assay,2287.666,2687.411,-399.745,28.9
Copulation Assay,2205.709,2589.188,-383.479,0
Copulation Assay,2216.289,2612.417,-396.128,18.6
Copulation Assay,2261.772,2510.603,-248.831,1.74
Copulation Assay,2139.677,2739.428,-599.751,8.45
Copulation Assay,2149.129,2627.056,-477.927,0
Copulation Assay,2320.907,2715.406,-394.499,0
Copulation Assay,2272.628,2786.382,-513.754,1.89
Copulation Assay,2305.284,2650.405,-345.121,12.07
Copulation Assay,2270.497,2645.83,-375.333,12.95
Copulation Assay,2223.05,2593.183,-370.133,13.73
Copulation Assay,2180.538,2552.308,-371.77,1.99
Copulation Assay,2283.52,2605.151,-321.631,6.87
Copulation Assay,2225.726,2441.289,-215.563,0
Copulation Assay,2226.082,2546.317,-320.235,13.7
Copulation Assay,2142.989,2410.932,-267.943,8.96
Copulation Assay,2058.607,2403.911,-345.304,0
Copulation Assay,2228.844,2495.263,-266.419,0.13
Copulation Assay,2196.234,2436.214,-239.98,16.06
Copulation Assay,2234.589,2545.425,-310.836,21.57
Copulation Assay,2137.389,2446.937,-309.548,13.43
Copulation Assay,2128.822,2490.203,-361.381,27.37
Copulation Assay,2200.955,2523.923,-322.968,38.6
Copulation Assay,2114.466,2631.576,-517.11,8.98
Copulation Assay,2170.497,2568.84,-398.343,22.95
Copulation Assay,2155.226,2514.281,-359.055,31.2
Copulation Assay,2144.418,2517.44,-373.022,21.41
Copulation Assay,2319.154,2501.546,-182.392,5.97
Copulation Assay,2054.551,2723.099,-668.548,0
Copulation Assay,2156.205,2669.528,-513.323,3.44
Copulation Assay,2174.04,2689.478,-515.438,3.17
Copulation Assay,2204.037,2427.651,-223.614,4.08
Copulation Assay,2292.437,2692.795,-400.358,23.77
Copulation Assay,2199.952,2620.648,-420.696,24.19
Copulation Assay,2321.709,2586.121,-264.412,0
Copulation Assay,2075.603,2616.894,-541.291,10.17
Copulation Assay,2213.955,2579.182,-365.227,15.55
Copulation Assay,2300.528,2692.59,-392.062,8.15
Copulation Assay,2261.86,2547.659,-285.799,23.43
Copulation Assay,2313.003,2593.268,-280.265,1.77
Copulation Assay,2210.966,2554.511,-343.545,12.75
Copulation Assay,2261.352,2584.624,-323.272,0
Copulation Assay,2204.22,2694.527,-490.307,0
Copulation Assay,2295.187,2847.268,-552.081,0
Copulation Assay,2220.595,2729.776,-509.181,0
Copulation Assay,2206.832,2665.841,-459.009,1.6
Copulation Assay,2237.179,2741.157,-503.978,0
Copulation Assay,2195.537,2652.482,-456.945,2.69
Copulation Assay,2315.514,2624.876,-309.362,2.99
Copulation Assay,2270.497,2567.26,-296.763,0
Copulation Assay,2259.235,2720.931,-461.696,0
Copulation Assay,2261.616,2731.704,-470.088,0
Copulation Assay,2201.163,2732.199,-531.036,0
Copulation Assay,2283.525,2623.272,-339.747,0
Copulation Assay,2272.396,2639.666,-367.27,10.84
Copulation Assay,2265.175,2728.801,-463.626,20.3
