Experiment,Male Length,Female Length,Length Dimorphism,EGG?,Eggs Laid?
Egg laying Assay,2188.273,2553.071,-364.798,1,Yes
Egg laying Assay,2212.926,2297.909,-84.983,0,No
Egg laying Assay,2336.098,2499.131,-163.033,0,No
Egg laying Assay,1730.57,2010.18,-279.61,1,Yes
Egg laying Assay,1626.24,1770.96,-144.72,0,No
Egg laying Assay,1637.24,1827.27,-190.03,0,No
Egg laying Assay,1587.02,1917.1,-330.08,1,Yes
Egg laying Assay,2156.358,2613.24,-456.882,1,Yes
Egg laying Assay,2154.498,2593.801,-439.303,0,No
Egg laying Assay,2251.833,2657.609,-405.776,1,Yes
Egg laying Assay,1730.03,1886.21,-156.18,0,No
Egg laying Assay,1638.49,1965.88,-327.39,0,No
Egg laying Assay,2221.466,2606.636,-385.17,0,No
Egg laying Assay,1577.07,1879.45,-302.38,0,No
Egg laying Assay,2186.005,2614.326,-428.321,1,Yes
Egg laying Assay,2203.096,2487.47,-284.374,0,No
Egg laying Assay,2097.154,2689.259,-592.105,0,No
Egg laying Assay,2071.441,2537.195,-465.754,0,No
Egg laying Assay,2118.663,2699.126,-580.463,0,No
Egg laying Assay,2228.959,2543.845,-314.886,1,Yes
Egg laying Assay,2209.235,2521.978,-312.743,1,Yes
Egg laying Assay,2138.844,2608.164,-469.32,0,No
Egg laying Assay,2129.649,2377.064,-247.415,0,No
Egg laying Assay,2149.341,2607.142,-457.801,0,No
Egg laying Assay,2273.205,2663.364,-390.159,0,No
Egg laying Assay,2088.634,2468.671,-380.037,1,Yes
Egg laying Assay,2173.753,2459.876,-286.123,1,Yes
Egg laying Assay,2196.533,2458.333,-261.8,0,No
Egg laying Assay,2249.304,2649.574,-400.27,0,No
Egg laying Assay,2206.59,2670.45,-463.86,1,Yes
Egg laying Assay,2240.83,2640.08,-399.25,0,No
Egg laying Assay,2180.67,2573.63,-392.96,0,No
Egg laying Assay,2235.34,2510,-274.66,0,No
Egg laying Assay,2065.25,2644.58,-579.33,0,No
Egg laying Assay,2191.4,2595.2,-403.8,0,No
Egg laying Assay,2290.79,2661.12,-370.33,1,Yes
Egg laying Assay,2289.73,2515.04,-225.31,0,No
Egg laying Assay,2265.04,2631.41,-366.37,1,Yes
Egg laying Assay,2202.55,2581,-378.45,0,No
Egg laying Assay,2266.28,2628.11,-361.83,0,No
Egg laying Assay,2165.07,2747.12,-582.05,0,No
Egg laying Assay,2260.88,2671.55,-410.67,1,Yes
Egg laying Assay,2257.23,2638.24,-381.01,0,No
Egg laying Assay,2046.84,2571.06,-524.22,0,No
Egg laying Assay,2257.74,2492.42,-234.68,0,No
Egg laying Assay,2212.84,2593.38,-380.54,0,No
Egg laying Assay,2269.54,2710.11,-440.57,1,Yes
Egg laying Assay,2167.65,2571.89,-404.24,0,No
Egg laying Assay,2251.21,2629.92,-378.71,1,Yes
Egg laying Assay,2235.93,2688.4,-452.47,0,No
Egg laying Assay,2242.02,2505.45,-263.43,0,No
Egg laying Assay,2326.22,2638.71,-312.49,0,No
Egg laying Assay,2254.36,2650.58,-396.22,1,Yes
Egg laying Assay,2225.08,2660.76,-435.68,0,No
Egg laying Assay,2172.46,2676.51,-504.05,0,No
Egg laying Assay,2221.02,2637.79,-416.77,0,No
Egg laying Assay,2317.66,2612.71,-295.05,0,No
Egg laying Assay,2244.71,2553.67,-308.96,0,No
