group,country,hbc.incidence
M. domesticus,Spain,46
M. domesticus,West Germany,62
M. domesticus,Ireland,64
M. domesticus,England,69
M. domesticus,Switzerland,69
M. domesticus,Italy,72
M. domesticus,France,75
M. domesticus,Iceland,79
M. domesticus,Netherlands,80
Hybrid zone,Croatia,37
Hybrid zone,Yugoslavia,43
Hybrid zone,Slovenia,46
Hybrid zone,East Germany,48
Hybrid zone,Norway,54
Hybrid zone,Austria,65
Hybrid zone,Sweden,73
Hybrid zone,Denmark,73
M. musculus,Belarus,30
M. musculus,Latvia,34
M. musculus,Estonia,36
M. musculus,Slovak Republic,39
M. musculus,Poland,40
M. musculus,Czech Republic,45
M. musculus,Finland,65
