energy.exp,lifespan
0.245,1.018
-0.174,0.772
-1.01,0.715
-0.931,0.529
-0.799,0.422
-0.759,0.327
-0.636,0.006
-0.333,0.141
-0.349,0.307
-0.246,0.317
-0.329,0.397
-0.188,0.379
-0.359,0.456
-0.413,0.481
-0.374,0.591
0.183,0.695
0.52,0.648
0.579,0.541
1.083,0.225
0.776,0.051
0.591,-0.108
0.468,0.166
0.399,0.215
0.502,0.295
0.282,0.3
0.242,0.335
0.184,0.29
0.067,0.23
0.077,0.163
-0.031,0.203
-0.09,0.263
-0.046,0.35
0.013,0.335
0.106,0.322
-0.046,0.379
0.061,0.432
0.154,0.409
0.252,0.422
0.291,0.469
-0.061,0.474
-0.027,0.474
0.017,0.534
0.076,0.546
0.056,0.591
