habitat,age,ln.survival,survival
Island,12.07135778,0,1
Island,15.99603568,-0.103941942,0.901277622
Island,19.81367691,-0.349787397,0.704837924
Island,23.73835481,-0.692426228,0.500360606
Island,27.77006938,-1.041535855,0.352912244
Island,31.69474727,-1.551916621,0.211841564
Island,35.79781962,-2.410716455,0.089750969
Island,39.82953419,-2.837245436,0.058586825
Island,43.96828543,-3.521858116,0.029544487
Island,44.71754212,-4.005863359,0.018208562
Mainland,12.07135778,0,1
Mainland,15.85332012,-0.174884108,0.839554313
Mainland,19.70664024,-0.704606925,0.494302834
Mainland,23.63131814,-1.285955433,0.276386389
Mainland,27.48463826,-2.506000831,0.081593895
Mainland,29.05450942,-4.003056364,0.018259745
