line,treatment,reversal,generation,longevity,se
A,Late reproducing,No,1,37.72,3.81
A,Late reproducing,No,5,41.79,3.7
A,Late reproducing,No,9,54.71,5.16
A,Late reproducing,No,13,61.36,5.16
A,Late reproducing,No,17,67.57,6.28
A,Late reproducing,No,20,68.61,4.04
B,Late reproducing,No,1,33.23,3.03
B,Late reproducing,No,5,37.08,3.25
B,Late reproducing,No,9,54.04,3.92
B,Late reproducing,No,13,58.45,5.83
B,Late reproducing,No,17,64.31,7.74
B,Late reproducing,No,21,70.51,4.04
C,Early reproducing,No,1,35.49,3.36
C,Early reproducing,No,5,42.7,4.6
C,Early reproducing,No,9,36.79,3.81
C,Early reproducing,No,13,36.71,2.58
C,Early reproducing,No,17,46.05,4.26
C,Early reproducing,No,21,51.68,4.82
C,Early reproducing,No,25,51.72,3.36
C,Early reproducing,No,29,50.29,4.15
D,Early reproducing,No,1,33.35,2.91
D,Early reproducing,No,5,36.64,3.59
D,Early reproducing,No,9,29.83,2.8
D,Early reproducing,No,13,34.68,3.03
D,Early reproducing,No,17,47.95,4.48
D,Early reproducing,No,21,47.98,4.82
D,Early reproducing,No,25,50.93,3.14
D,Early reproducing,No,29,53.54,4.26
A,Late reproducing,Reversal,19,68.3,
A,Late reproducing,Reversal,24,61.14,2.91
A,Late reproducing,Reversal,24,60.12,4.48
