pct.vax,covid.hosp
49.4,59.1
37.4,51.7
34.8,39.7
34.8,37.8
37.4,37.7
44.9,36.5
42,31.9
39.2,27.7
40.7,26.4
44.3,27.8
39.5,20.7
41.1,18.7
46.1,19.3
45.7,16.2
45.7,14.8
45.9,13.9
44.6,13.1
44.1,12.7
39.2,12.5
37.7,11.6
37.2,13.1
40.4,4.5
44.6,11.8
45.2,10.8
49.1,8.2
46.8,7.4
47.4,3.8
49.2,5
50,7.5
50,8.5
53.5,13.2
53.9,11.5
52.1,7.2
53.2,6.6
53,5.4
54.1,4.8
55.4,6.1
54.9,7
55,6.8
56.4,10.3
57.7,10.1
58.2,8.8
57.6,4.6
58.6,2.5
59,6.3
59.4,5.6
62.1,3.9
63.8,5
64.3,4
64.4,3.1
67.9,2
