fitness,mic
0.133,127008
0.148,126989
0.3,128261
0.387,125263
0.571,125044
0.336,63924
0.799,62922
0.858,62886
0.926,62845
0.95,62118
0.625,31066
0.748,31029
0.908,30982
0.987,15612
0.985,1935
0.967,2072
0.636,1986
0.506,1988
0.557,1014
0.599,1002
0.284,250
0.292,507
0.332,501
0.477,252
0.676,499
0.726,499
0.95,851
0.972,841
1.418,318
1.483,314
1.358,39
1.512,40
1.506,10
1.31,10
0.999,492
0.931,504
0.879,498
0.83,510
0.798,257
0.819,254
0.841,251
0.835,327
0.844,327
0.905,260
0.657,249
0.708,127
0.763,128
0.857,130
0.865,128
0.877,127
0.894,128
0.906,130
0.83,99
0.861,100
0.898,100
0.913,100
0.934,101
0.956,94
1.219,63
0.953,40
0.64,32
0.709,32
0.744,31
0.869,64
0.948,64
0.96,64
0.96,64
0.972,65
0.912,33
0.93,31
0.963,33
0.97,32
0.982,33
1.008,24
0.744,20
0.762,20
0.778,20
0.796,20
0.862,20
0.882,20
0.562,2
0.776,16
0.862,16
0.897,16
0.941,16
0.988,16
1.016,16
1.029,16
1.045,16
1.152,8
0.997,11
0.981,8
1.023,8
0.957,8
0.894,8
0.863,4
0.976,5
0.992,5
1.039,5
1.034,4
1.052,4
1.069,3
0.993,4
0.998,3
1.019,3
1.007,2
1.014,2
0.913,2
0.832,2
0.901,1
0.921,1
0.943,1
0.962,1
0.989,1
