year,week,week2,positive
2018,1,21,2.97
2018,2,22,1.93
2018,3,23,2.03
2018,4,24,1.7
2018,5,25,1.37
2018,6,26,1.36
2018,7,27,1.51
2018,8,28,1.36
2018,9,29,1.65
2018,10,30,1.36
2018,11,31,1.36
2018,12,32,1.36
2018,13,33,1.12
2018,14,34,2.02
2018,15,35,1.83
2018,16,36,2.21
2018,17,37,2.16
2018,18,38,2.11
2018,19,39,1.83
2018,20,40,2.21
2018,21,41,2.2
2018,22,42,2.49
2018,23,43,2.72
2018,24,44,2.77
2018,25,45,3.48
2018,26,46,3.9
2018,27,47,4.98
2018,28,48,5.22
2018,29,49,7.63
2018,30,50,12.44
2018,31,51,17.15
2018,32,52,19.32
2019,33,1,15.12
2019,34,2,16.02
2019,35,3,19.79
2019,36,4,22.86
2019,37,5,26.11
2019,38,6,28.8
2019,39,7,29.7
2019,40,8,29.84
2019,41,9,29.88
2019,42,10,29.51
2019,43,11,29.74
2019,44,12,25.54
2019,45,13,22.29
2019,46,14,17.8
2019,47,15,14.41
2019,48,16,10.3
2019,49,17,7.33
2019,50,18,6.1
2019,51,19,5.02
2019,52,20,4.54
2019,53,21,4.21
2019,54,22,3.98
2019,55,23,3.79
2019,56,24,3.27
2019,57,25,2.8
2019,58,26,3.03
2019,59,27,3.46
2019,60,28,2.79
2019,61,29,3.17
2019,62,30,3.17
2019,63,31,3.17
2019,64,32,2.79
2019,65,33,3.17
2019,66,34,3.45
2019,67,35,4.21
2019,68,36,4.02
2019,69,37,3.5
2019,70,38,3.68
2019,71,39,3.59
2019,72,40,2.17
2019,73,41,2.41
2019,74,42,2.55
2019,75,43,3.4
2019,76,44,4.29
2019,77,45,7.22
2019,78,46,8.87
2019,79,47,11.94
2019,80,48,13.59
2019,81,49,14.39
2019,82,50,19.15
2019,83,51,25.52
2019,84,52,30.09
2020,85,1,26.6
2020,86,2,26.18
2020,87,3,29.43
2020,88,4,31.32
2020,89,5,33.2
2020,90,6,33.2
2020,91,7,32.45
2020,92,8,30.84
2020,93,9,28.11
2020,94,10,24.71
2020,95,11,17.35
2020,96,12,8.25
2020,97,13,2.68
2020,98,14,1.26
2020,99,15,0.84
2020,100,16,0.84
2020,101,17,0.46
2020,102,18,0.65
2020,103,19,0.65
2020,104,20,0.65
2020,105,21,0.27
2020,106,22,0.27
2020,107,23,0.41
2020,108,24,0.41
2020,109,25,0.41
2020,110,26,0.36
2020,111,27,0.26
2020,112,28,0.22
2020,113,29,0.4
2020,114,30,0.21
2020,115,31,0.17
2020,116,32,0.21
2020,117,33,0.17
2020,118,34,0.31
2020,119,35,0.26
2020,120,36,0.21
2020,121,37,0.21
2020,122,38,0.49
2020,123,39,0.3
2020,124,40,0.26
2020,125,41,0.3
2020,126,42,0.25
2020,127,43,0.25
2020,128,44,0.21
2020,129,45,0.16
2020,130,46,0.16
2020,131,47,0.16
2020,132,48,0.16
2020,133,49,0.16
2020,134,50,0.2
2020,135,51,0.25
2020,136,52,0.2
2021,137,1,0.25
2021,138,2,0.2
2021,139,3,0.1
2021,140,4,0.2
2021,141,5,0.15
2021,142,6,0.15
2021,143,7,0.1
2021,144,8,0.1
2021,145,9,0.05
2021,146,10,0.05
2021,147,11,0.1
2021,148,12,0.15
2021,149,13,0.05
2021,150,14,0.05
2021,151,15,0.05
2021,152,16,0.05
2021,153,17,0.05
2021,154,18,0.05
2021,155,19,0.05
2021,156,20,0.05
2021,157,21,0.09
