phase,virulence,competitiveness
Acute phase,0.639,0.049
Acute phase,0.642,0.12
Acute phase,0.656,0.055
Acute phase,0.66,0.166
Acute phase,0.685,0.076
Acute phase,0.776,0.235
Acute phase,0.808,0.281
Acute phase,0.853,0.361
Acute phase,0.956,0.36
Acute phase,0.974,0.5
Acute phase,0.945,0.621
Chronic phase,0.64,0.016
Chronic phase,0.643,-0.008
Chronic phase,0.657,0.005
Chronic phase,0.663,0.005
Chronic phase,0.694,0.056
Chronic phase,0.775,1.009
Chronic phase,0.808,0.221
Chronic phase,0.854,0.254
Chronic phase,0.944,0.769
Chronic phase,0.957,0.018
Chronic phase,0.974,0.997
