year,parent.beak,offspring.beak
1978,8.9,9
1978,9,9.3
1978,9.1,9.5
1978,9.6,9.2
1978,9.5,9.5
1978,9.8,9.5
1978,10.1,9.6
1978,9.9,9.8
1978,10,10
1978,9.5,10
1978,9.6,9.9
1978,10.1,10.3
1978,10.2,10.2
1978,10.4,10.2
1978,10.7,10.3
1978,10.6,10.5
1978,10.3,10.9
1976,8.1,8
1976,8.3,7.8
1976,8.4,8.2
1976,8.8,8.6
1976,8.9,8.3
1976,9,8.5
1976,9.3,7.8
1976,9.9,8.7
1976,10.9,8.8
1976,9.4,9
1976,9.1,8.9
1976,9.1,9
1976,9.3,9.2
1976,9.2,9.5
1976,9.4,9.7
1976,9.7,9.7
1976,9.7,9.2
1976,9.9,9.6
1976,10.4,9.8
1976,10,9.9
1976,10.3,10.1
1976,10.8,10.9
