replicate,generation,p
Control 1,1,0.34
Control 1,3,0.266
Control 1,5,0.337
Control 1,7,0.409
Control 1,9,0.427
Control 1,10,0.395
Control 1,11,0.345
Control 1,18,0.208
Control 1,28,0.196
Control 1,40,0.357
Control 1,50,0.459
Control 2,1,0.375
Control 2,2,0.377
Control 2,4,0.365
Control 2,6,0.35
Control 2,8,0.337
Control 2,12,0.402
Control 2,10,0.39
Control 2,18,0.328
Control 2,28,0.355
Control 2,40,0.318
Control 2,50,0.191
Ethanol 1,1,0.375
Ethanol 1,3,0.34
Ethanol 1,5,0.462
Ethanol 1,7,0.558
Ethanol 1,9,0.546
Ethanol 1,11,0.643
Ethanol 1,18,0.658
Ethanol 1,28,0.809
Ethanol 1,40,0.819
Ethanol 1,50,0.893
Ethanol 2,1,0.367
Ethanol 2,2,0.524
Ethanol 2,4,0.578
Ethanol 2,6,0.553
Ethanol 2,8,0.571
Ethanol 2,10,0.548
Ethanol 2,12,0.524
Ethanol 2,18,0.596
Ethanol 2,28,0.913
Ethanol 2,40,0.98
Ethanol 2,50,0.998
