Time,Region,n,p
4200,Central Europe,1,0
1000,Central Europe,23,0.109
925,Central Europe,18,0.5
7150,Central Europe,1,0
7050,Central Europe,9,0
4800,Central Europe,1,0
2600,Central Europe,3,0.333
13665,Central Europe,1,0
900,Central Europe,35,0.2
5500,Central Europe,9,0
2700,Central Europe,8,0.188
1750,Central Europe,31,0.468
800,Central Europe,74,0.345
4550,Central Europe,6,0.167
4300,Central Europe,4,0
4050,Central Europe,6,0
3450,Central Europe,10,0.05
7300,Central Europe,14,0
5850,Central Europe,5,0
4750,Central Europe,24,0.02
4250,Central Europe,9,0.05
0,Central Europe,,0.59
7400,Central Europe,6,0
13256,Eastern Europe,1,0
9712,Eastern Europe,1,0
0,Eastern Europe,,0.36
8350,Middle East,23,0
9600,Middle East,4,0
2850,Middle East,1,0
8200,Middle East,2,0
0,Middle East,,0.76
4700,Northern Eurasia,5,0.3
4700,Northern Eurasia,4,0.125
4200,Northern Eurasia,2,0
3950,Northern Eurasia,4,0
3600,Northern Eurasia,4,0
3150,Northern Eurasia,5,0.1
3000,Northern Eurasia,2,0.5
1700,Northern Eurasia,1,0
6600,Northern Eurasia,3,0
5150,Northern Eurasia,9,0
4800,Northern Eurasia,4,0
4050,Northern Eurasia,3,0
3525,Northern Eurasia,12,0.125
2300,Northern Eurasia,1,0
2600,Northern Eurasia,24,0.03
2500,Northern Eurasia,3,0
7250,Northern Eurasia,1,0
0,Northern Eurasia,,0.38
7400,Northern Europe,2,0
4500,Northern Europe,10,0.05
7375,Northern Europe,1,0
4825,Northern Europe,3,0
6850,Northern Europe,1,0
4550,Northern Europe,6,0
2900,Northern Europe,5,0.1
5150,Northern Europe,1,0
3750,Northern Europe,3,0.167
7600,Northern Europe,3,0
5400,Northern Europe,4,0
10800,Northern Europe,1,0
9000,Northern Europe,,0
5800,Northern Europe,,0
0,Northern Europe,,0.96
7350,Northern Europe,3,0
4600,Northern Europe,10,0
2550,Northern Europe,,0.444
7000,Southern Europe,7,0
5300,Southern Europe,1,0
4750,Southern Europe,26,0.231
7750,Southern Europe,1,0
4500,Southern Europe,8,0
4500,Southern Europe,3,0
7300,Southern Europe,1,0
5100,Southern Europe,3,0
7250,Southern Europe,3,0
5750,Southern Europe,4,0
4500,Southern Europe,10,0
9150,Southern Europe,2,0
7150,Southern Europe,3,0
0,Southern Europe,,0.46
7200,Western Europe,1,0
0,Western Europe,,0.67
9775,Western Europe,,0.5
