label,origin,diet
Ancistrus_ranunculus,South America,herbivore
Carinotetraodon_travancoricus,India,carnivore
Chromobotia_macracanthus,Southeast Asia,omnivore
Corydoras_aeneus,South America,omnivore
Corydoras_julii,South America,omnivore
Corydoras_paleatus,South America,omnivore
Cryptoheros_myrnae,Central America,insectivore
Danio_albolineatus,Southeast Asia,insectivore
Danio_choprae,Southeast Asia,insectivore
Danio_margaritatus,Southeast Asia,insectivore
Dario_dario,India,insectivore
Dawkinsia_filamentosa,India,insectivore
Epalzeorhynchos_bicolor,Southeast Asia,herbivore
Erpetoichthys_calabaricus,Africa,carnivore
Garra_flavatra,Southeast Asia,herbivore
Gyrinocheilus_aymonieri,Southeast Asia,herbivore
Hara_jerdoni,Southeast Asia,omnivore
Hemigrammus_bleheri,South America,insectivore
Hyphessobrycon_anisitsi,South America,insectivore
Limia_perugiae,Central America,omnivore
Metynnis_hypsauchen,South America,herbivore
Monopterus_albus,Southeast Asia,carnivore
Neolamprologus_similis,Africa,insectivore
Pelvicachromis_pulcher,Africa,omnivore
Phenacogrammus_interruptus,South America,insectivore
Poecilia_latipinna,North America,omnivore
Poecilia_mexicana,Central America,omnivore
Priapella_chamulae,Central America,insectivore
Pristella_maxillaris,South America,insectivore
Pterophyllum_leopoldi,South America,omnivore
Syncrossus_hymenophysa,Southeast Asia,omnivore
Synodontis_eupterus,Africa,omnivore
Synodontis_nigriventris,Africa,omnivore
Synodontis_ocellifer,Africa,omnivore
Tetraodon_palembangensis,Southeast Asia,carnivore
Thorichthys_helleri,Central America,omnivore
Trichopsis_pumila,Southeast Asia,insectivore
Xiphophorus_hellerii,Central America,omnivore
Xiphophorus_variatus,Central America,omnivore
