sex,age,calves
Males,1,0
Males,2,0.007
Males,3,0.001
Males,4,0.002
Males,5,0.319
Males,6,0.728
Males,7,1.652
Males,8,2.08
Males,9,1.944
Males,10,2.193
Males,11,1.364
Males,12,1.439
Males,13,0.344
Females,1,0
Females,2,0.001
Females,3,0.212
Females,4,0.702
Females,5,0.635
Females,6,0.672
Females,7,0.686
Females,8,0.798
Females,9,0.576
Females,10,0.787
Females,11,0.732
Females,12,0.807
Females,13,0.814
Females,14,0.642
Females,15,0.562
Females,16,0.68
Females,17,0.508
