sex,offspring,percent
Males,0,89
Males,1,0.22
Males,2,0.27
Males,3,0.27
Males,4,0.27
Males,5,0.27
Males,6,0.27
Males,7,0.27
Males,8,0.27
Males,9,0.27
Males,10,0.27
Males,11,0.31
Males,12,0.31
Males,13,0.31
Males,14,0.31
Males,15,0.31
Males,16,0.31
Males,17,0.31
Males,18,0.31
Males,19,0.31
Males,20,0.31
Males,41,0.18
Males,42,0.18
Males,43,0.18
Males,44,0.18
Males,45,0.18
Males,46,0.18
Males,47,0.18
Males,48,0.18
Males,49,0.18
Males,50,0.18
Males,81,0.18
Males,82,0.18
Males,83,0.18
Males,84,0.18
Males,85,0.18
Males,86,0.18
Males,87,0.18
Males,88,0.18
Males,89,0.18
Males,90,0.18
Males,91,0.18
Males,92,0.18
Males,93,0.18
Males,94,0.18
Males,95,0.18
Males,96,0.18
Males,97,0.18
Males,98,0.18
Males,99,0.18
Males,100,0.18
Females,0,66.2
Females,1,11.57
Females,2,6.94
Females,3,6.02
Females,4,3.7
Females,5,2.78
Females,6,2.31
Females,7,2.78
Females,8,1.85
Females,9,2.31
Females,10,1.39
