treatment,color.intensity,female.choice
No filter,0,233.47
No filter,0,218.27
No filter,0,212.33
No filter,0,190.53
No filter,0,179.29
No filter,0,166.07
No filter,0,160.12
No filter,0,153.52
No filter,0,139.64
No filter,0,99.34
No filter,0,88.76
No filter,0,67.61
No filter,0,53.74
No filter,0,32.59
No filter,0.5,289.42
No filter,0.5,277.53
No filter,0.5,264.97
No filter,0.5,246.47
No filter,0.5,233.25
No filter,0.5,224.67
No filter,0.5,218.72
No filter,0.5,203.51
No filter,0.5,196.91
No filter,0.5,190.29
No filter,0.5,175.76
No filter,0.5,165.85
No filter,0.5,157.26
No filter,0.5,148.02
No filter,0.5,119.6
No filter,0.5,99.78
No filter,0.5,56.16
No filter,0.5,14.53
No filter,1,298.46
No filter,1,294.5
No filter,1,270.71
No filter,1,266.74
No filter,1,262.77
No filter,1,225.77
No filter,1,209.91
No filter,1,189.43
No filter,1,147.8
No filter,1,136.56
No filter,1,127.96
No filter,1.5,294.93
No filter,1.5,264.53
No filter,1.5,205.06
No filter,1.5,101.32
Filter,0,144.52
Filter,0.1,126.91
Filter,0.3,99.62
Filter,0.5,93.29
Filter,0.7,90.38
Filter,1.4,145.11
Filter,0.8,164.62
Filter,0.7,147.1
Filter,0.4,152.86
Filter,0.5,207.84
Filter,0.7,187.33
Filter,0.8,181.66
Filter,0.9,200.88
Filter,0.8,229.27
Filter,0.2,224.38
