habitat,bodymass,lifespan
Terrestrial,-0.542,1.145
Terrestrial,0.678,1.149
Terrestrial,0.973,1.255
Terrestrial,1.399,1.342
Terrestrial,1.825,1.378
Terrestrial,1.796,1.448
Terrestrial,2.185,1.504
Terrestrial,1.81,1.62
Terrestrial,1.867,1.622
Terrestrial,1.644,1.61
Terrestrial,1.492,1.567
Terrestrial,1.406,1.518
Terrestrial,1.153,1.415
Terrestrial,0.893,1.381
Terrestrial,0.843,1.381
Terrestrial,0.467,1.396
Terrestrial,0.229,1.379
Terrestrial,0.164,1.381
Terrestrial,0.121,1.258
Terrestrial,0.049,1.205
Terrestrial,-0.102,1.258
Terrestrial,-0.102,1.232
Terrestrial,-0.254,1.256
Terrestrial,-0.326,1.256
Terrestrial,-0.435,1.256
Terrestrial,-0.464,1.323
Terrestrial,-0.023,1.302
Terrestrial,-0.168,1.379
Terrestrial,-0.218,1.398
Terrestrial,-0.168,1.427
Terrestrial,0.012,1.43
Terrestrial,-0.262,1.49
Terrestrial,0.193,1.492
Terrestrial,0.351,1.536
Terrestrial,0.395,1.519
Terrestrial,0.445,1.557
Terrestrial,0.467,1.553
Terrestrial,0.691,1.48
Terrestrial,0.763,1.543
Terrestrial,0.922,1.552
Terrestrial,0.777,1.586
Terrestrial,0.849,1.596
Terrestrial,0.9,1.598
Terrestrial,2.51,1.566
Terrestrial,1.708,1.685
Terrestrial,1.65,1.702
Terrestrial,1.824,1.733
Terrestrial,1.939,1.714
Terrestrial,2.055,1.682
Terrestrial,2.17,1.75
Terrestrial,2.365,1.793
Terrestrial,2.509,1.764
Terrestrial,2.372,1.822
Terrestrial,2.61,1.81
Terrestrial,3.065,1.803
Terrestrial,2.502,1.895
Terrestrial,2.639,1.902
Terrestrial,2.711,1.909
Terrestrial,2.747,1.994
Terrestrial,2.971,1.981
Terrestrial,2.971,2.025
Terrestrial,2.92,2.054
Terrestrial,2.999,2.11
Terrestrial,3.079,2.102
Terrestrial,3.194,2.059
Terrestrial,3.411,2.008
Terrestrial,3.317,1.943
Terrestrial,-0.826,1.594
Terrestrial,-0.372,1.797
Terrestrial,-0.14,1.777
Terrestrial,-0.047,1.777
Terrestrial,-0.184,1.71
Terrestrial,-0.162,1.686
Terrestrial,-0.111,1.683
Terrestrial,-0.125,1.632
Terrestrial,-0.14,1.608
Terrestrial,-0.096,1.594
Terrestrial,-0.06,1.577
Terrestrial,-0.024,1.555
Terrestrial,0.012,1.558
Terrestrial,0.07,1.582
Terrestrial,0.185,1.572
Terrestrial,0.041,1.632
Terrestrial,0.098,1.777
Terrestrial,0.127,1.818
Terrestrial,0.177,1.818
Terrestrial,0.134,1.833
Terrestrial,0.286,1.77
Terrestrial,0.372,1.768
Terrestrial,0.315,1.741
Terrestrial,0.373,1.681
Terrestrial,0.43,1.671
Terrestrial,0.416,1.688
Terrestrial,0.481,1.697
Terrestrial,0.517,1.681
Terrestrial,0.618,1.678
Terrestrial,0.654,1.697
Terrestrial,0.553,1.729
Terrestrial,0.538,1.751
Terrestrial,0.741,1.666
Terrestrial,0.849,1.668
Terrestrial,0.936,1.685
Terrestrial,1.037,1.671
Terrestrial,1.116,1.651
Terrestrial,1.239,1.671
Terrestrial,1.383,1.68
Terrestrial,1.268,1.719
Terrestrial,1.289,1.779
Terrestrial,1.405,1.774
Terrestrial,1.527,1.794
Terrestrial,0.748,1.724
Terrestrial,0.842,1.734
Terrestrial,1.737,1.839
Terrestrial,1.816,1.837
Terrestrial,1.838,1.859
Terrestrial,1.859,1.873
Terrestrial,1.975,1.9
Terrestrial,2.032,1.919
Terrestrial,2.155,1.873
Terrestrial,2.191,1.856
Terrestrial,2.242,1.859
Terrestrial,2.357,1.912
Terrestrial,2.393,1.888
Terrestrial,2.22,1.921
Terrestrial,2.242,1.955
Terrestrial,2.256,1.982
Terrestrial,2.35,1.972
Terrestrial,2.314,2.003
Terrestrial,2.342,2.032
Terrestrial,2.378,2.045
Terrestrial,2.523,2.03
Terrestrial,2.465,2.081
Terrestrial,2.609,2.078
Terrestrial,4.479,2.157
Terrestrial,4.299,2.152
Terrestrial,4.082,2.167
Terrestrial,4.032,2.15
Terrestrial,4.609,2.292
Terrestrial,4.839,2.341
Terrestrial,5.15,2.333
Terrestrial,5.374,2.408
Terrestrial,6.283,2.425
Terrestrial,5.785,2.507
Terrestrial,5.879,2.492
Terrestrial,6.109,2.589
Terrestrial,5.965,2.618
Terrestrial,5.878,2.671
Terrestrial,5.626,2.599
Terrestrial,5.553,2.676
Terrestrial,5.943,2.765
Terrestrial,6.108,2.859
Terrestrial,6.224,2.746
Terrestrial,6.412,2.772
Terrestrial,6.642,2.917
Terrestrial,6.599,2.975
Terrestrial,4.519,3.162
Terrestrial,4.896,2.783
Terrestrial,5.278,2.749
Terrestrial,5.358,2.729
Terrestrial,5.185,2.717
Terrestrial,5.163,2.676
Terrestrial,5.156,2.647
Terrestrial,5.286,2.676
Terrestrial,5.279,2.635
Terrestrial,5.358,2.64
Terrestrial,5.351,2.599
Terrestrial,5.366,2.594
Terrestrial,5.496,2.567
Terrestrial,5.64,2.55
Terrestrial,5.648,2.517
Terrestrial,5.655,2.505
Terrestrial,5.554,2.493
Terrestrial,5.445,2.507
Terrestrial,5.417,2.493
Terrestrial,5.38,2.546
Terrestrial,5.315,2.553
Terrestrial,4.788,2.676
Terrestrial,4.549,2.689
Terrestrial,4.435,2.249
Terrestrial,4.378,2.266
Terrestrial,4.262,2.259
Terrestrial,4.168,2.252
Terrestrial,3.808,2.138
Terrestrial,3.555,2.15
Terrestrial,-0.062,1.997
Terrestrial,0.378,2.045
Terrestrial,0.299,1.999
Terrestrial,0.364,1.999
Terrestrial,0.422,2.007
Terrestrial,0.436,1.978
Terrestrial,0.314,1.823
Terrestrial,0.379,1.811
Terrestrial,0.365,1.855
Terrestrial,0.458,1.879
Terrestrial,0.661,1.883
Terrestrial,0.704,1.828
Terrestrial,0.733,1.808
Terrestrial,0.668,1.787
Terrestrial,0.755,1.76
Terrestrial,0.791,1.765
Terrestrial,0.87,1.779
