population,year,age,mass
Mainland,Year 1,15,39.1
Mainland,Year 1,20,16.4
Mainland,Year 1,22,46
Mainland,Year 1,22,100.3
Mainland,Year 1,28,34.4
Mainland,Year 1,28,81.5
Mainland,Year 1,28,71.8
Mainland,Year 1,32,89.8
Mainland,Year 1,35,101.6
Mainland,Year 1,50,127.5
Mainland,Year 1,55,223.1
Mainland,Year 1,60,207.6
Mainland,Year 1,58,353.1
Mainland,Year 2,13,9.6
Mainland,Year 2,26,62.8
Mainland,Year 2,36,57.2
Mainland,Year 2,40,89.7
Mainland,Year 2,45,60.7
Mainland,Year 2,50,79.2
Mainland,Year 2,53,125.9
Mainland,Year 2,58,151.4
Mainland,Year 2,62,198.4
Mainland,Year 2,63,184.2
Mainland,Year 2,62,95.8
Island,Year 1,20,15.2
Island,Year 1,20,35.4
Island,Year 1,20,27.8
Island,Year 1,22,18.1
Island,Year 1,24,52.4
Island,Year 1,26,51.6
Island,Year 1,26,41.5
Island,Year 1,30,62.3
Island,Year 1,34,78.2
Island,Year 1,40,57.7
Island,Year 1,42,85.8
Island,Year 1,40,105.7
Island,Year 1,46,116.7
Island,Year 1,47,70.1
Island,Year 1,50,204.6
Island,Year 1,50,118.8
Island,Year 1,57,150.2
Island,Year 1,66,231.2
Island,Year 1,69,161
Island,Year 1,65,93.5
Island,Year 2,10,5.9
Island,Year 2,13,7.7
Island,Year 2,20,26.6
Island,Year 2,22,29.4
Island,Year 2,26,22.5
Island,Year 2,28,17.8
Island,Year 2,31,75.2
Island,Year 2,35,87.1
Island,Year 2,35,60.7
Island,Year 2,45,75
Island,Year 2,50,88.4
Island,Year 2,50,135.2
Island,Year 2,65,210.8
