year,month,positive
2020,12,7.74
2020,13,3.66
2020,14,3.36
2020,15,2.24
2020,16,0.11
2020,17,2.32
2020,18,0.11
2020,20,0.11
2020,21,3.07
2020,22,0.07
2020,23,1.27
2020,24,0
2020,27,0
2020,28,1.16
2020,29,0.07
2020,30,0.07
2020,31,1.35
2020,32,1.57
2020,33,1.76
2020,34,1.68
2020,35,2.84
2020,36,3.14
2020,37,3.21
2020,38,12.75
2020,39,10.47
2020,40,13.68
2019,12,8.52
2019,13,6.95
2019,14,7.96
2019,15,5.35
2019,16,4.34
2019,17,6.5
2019,18,6.84
2019,19,6.06
2019,20,9.01
2019,21,10.92
2019,22,10.32
2019,23,10.17
2019,24,10.43
2019,25,14.17
2019,26,8.22
2019,27,8.26
2019,28,7.81
2019,29,5.83
2019,30,5.16
2019,31,8.45
2019,32,7.93
2019,33,5.57
2019,34,7.18
2019,35,13.79
2019,36,5.31
2019,37,7.66
2019,38,7.59
2019,39,16.86
2019,40,15.18
