host,female.mass,fecundity
Acacia greggii,2.3,35
Acacia greggii,2.4,27
Acacia greggii,2.4,22
Acacia greggii,2.4,17
Acacia greggii,2.5,24
Acacia greggii,2.5,28
Acacia greggii,2.5,32
Acacia greggii,2.6,33
Acacia greggii,2.6,30
Acacia greggii,2.6,23
Acacia greggii,2.6,22
Acacia greggii,2.6,19
Acacia greggii,2.8,21
Acacia greggii,2.8,26
Acacia greggii,2.8,27
Acacia greggii,2.7,26
Acacia greggii,2.7,27
Acacia greggii,2.7,28
Acacia greggii,2.7,30
Acacia greggii,2.7,31
Acacia greggii,2.9,33
Acacia greggii,2.9,25
Acacia greggii,2.9,23
Acacia greggii,2.9,22
Acacia greggii,2.9,18
Acacia greggii,2.9,16
Acacia greggii,3,12
Acacia greggii,3,34
Acacia greggii,3.1,39
Acacia greggii,3.2,40
Acacia greggii,3.2,37
Acacia greggii,3.1,27
Acacia greggii,3.2,28
Acacia greggii,3.3,35
Acacia greggii,3.3,27
Acacia greggii,3.3,26
Acacia greggii,3.3,22
Acacia greggii,3.3,21
Acacia greggii,3.4,26
Acacia greggii,3.4,31
Acacia greggii,3.4,37
Acacia greggii,3.5,28
Acacia greggii,3.6,43
Acacia greggii,3.7,51
Acacia greggii,3.9,42
Acacia greggii,3.9,36
Acacia greggii,3,21
Cercidium floridum,2.3,15
Cercidium floridum,2.4,15
Cercidium floridum,2.5,17
Cercidium floridum,2.5,13
Cercidium floridum,2.6,20
Cercidium floridum,2.6,18
Cercidium floridum,2.6,17
Cercidium floridum,2.6,16
Cercidium floridum,2.7,19
Cercidium floridum,2.8,22
Cercidium floridum,2.8,17
Cercidium floridum,2.8,16
Cercidium floridum,2.8,14
Cercidium floridum,2.9,17
Cercidium floridum,2.9,15
Cercidium floridum,3,27
Cercidium floridum,3.1,32
Cercidium floridum,3.1,25
Cercidium floridum,3,22
Cercidium floridum,3,20
Cercidium floridum,3,18
Cercidium floridum,3,17
Cercidium floridum,3.1,21
Cercidium floridum,3.1,20
Cercidium floridum,3.1,19
Cercidium floridum,3.1,13
Cercidium floridum,3.2,27
Cercidium floridum,3.2,22
Cercidium floridum,3.2,21
Cercidium floridum,3.2,15
Cercidium floridum,3.2,14
Cercidium floridum,3.2,13
Cercidium floridum,3.3,18
Cercidium floridum,3.3,17
Cercidium floridum,3.3,15
Cercidium floridum,3.4,25
Cercidium floridum,3.4,19
Cercidium floridum,3.5,23
Cercidium floridum,3.5,21
Cercidium floridum,3.5,20
Cercidium floridum,3.5,16
Cercidium floridum,3.6,19
Cercidium floridum,3.6,28
Cercidium floridum,3.6,27
Cercidium floridum,3.8,28
Cercidium floridum,3.7,21
Cercidium floridum,3.7,18
Cercidium floridum,3.9,16
