gamete,group,log.mass,log.gam.prod
Sperm,Invertebrates,-5.658,-8.512
Sperm,Invertebrates,-2.421,-7.445
Sperm,Invertebrates,-2.421,-7.832
Sperm,Invertebrates,-2.526,-8.563
Sperm,Invertebrates,-2.368,-8.65
Sperm,Invertebrates,1.289,-6.939
Sperm,Fishes,0.289,-5.13
Sperm,Fishes,1.289,-4.1
Sperm,Fishes,1.947,-4.059
Sperm,Fishes,2.5,-3.802
Sperm,Fishes,2.947,-2.685
Sperm,Fishes,3.105,-2.557
Sperm,Birds,1.211,-6.294
Sperm,Birds,2,-6.167
Sperm,Birds,2.158,-6.296
Sperm,Birds,2.053,-5.092
Sperm,Birds,2.053,-4.36
Sperm,Birds,3.079,-3.89
Sperm,Birds,3.395,-3.504
Sperm,Birds,4,-4.151
Sperm,Birds,3.289,-4.88
Sperm,Birds,2.789,-5.696
Sperm,Birds,2.605,-5.781
Sperm,Birds,3.684,-5.569
Sperm,Birds,3.368,-6.902
Sperm,Birds,3.605,-7.891
Sperm,Mammals,1.5,-5.305
Sperm,Mammals,2.053,-3.672
Sperm,Mammals,2.5,-4.878
Sperm,Mammals,2.816,-4.319
Sperm,Mammals,2.763,-3.545
Sperm,Mammals,3.526,-3.633
Sperm,Mammals,3.684,-3.806
Sperm,Mammals,3.553,-4.751
Sperm,Mammals,4.053,-2.473
Sperm,Mammals,4,-2.946
Sperm,Mammals,3.974,-3.247
Sperm,Mammals,4.868,-4.153
Sperm,Mammals,4.842,-3.938
Sperm,Mammals,5.026,-3.465
Sperm,Mammals,4.632,-1.744
Sperm,Mammals,4.974,-1.96
Sperm,Mammals,4.789,-2.475
Sperm,Mammals,5.289,-1.616
Sperm,Mammals,5.447,-2.477
Sperm,Mammals,5.763,-2.435
Sperm,Mammals,6.342,-2.049
Eggs,Invertebrates,-5.316,-7.265
Eggs,Invertebrates,-4.684,-6.149
Eggs,Invertebrates,-4.605,-6.235
Eggs,Invertebrates,-4.421,-5.848
Eggs,Invertebrates,-4.368,-5.978
Eggs,Invertebrates,-4.289,-6.451
Eggs,Invertebrates,-4.132,-6.279
Eggs,Invertebrates,-3.868,-6.108
Eggs,Invertebrates,-3.974,-5.677
Eggs,Invertebrates,-3.737,-5.592
Eggs,Invertebrates,-3.395,-4.819
Eggs,Invertebrates,-3.421,-5.249
Eggs,Invertebrates,-3.237,-5.077
Eggs,Invertebrates,-3.053,-4.949
Eggs,Invertebrates,-3,-5.207
Eggs,Invertebrates,-3.184,-5.68
Eggs,Invertebrates,-2.447,-4.907
Eggs,Invertebrates,-2.184,-4.822
Eggs,Invertebrates,-2.368,-4.736
Eggs,Invertebrates,-2.237,-4.478
Eggs,Invertebrates,-1.921,-4.35
Eggs,Invertebrates,-1.263,-4.093
Eggs,Fishes,0.237,-2.205
Eggs,Fishes,2.026,-2.296
Eggs,Fishes,2.026,-1.565
Eggs,Fishes,2.737,-0.749
Eggs,Fishes,2.579,0.886
Eggs,Fishes,3.421,1.356
Eggs,Fishes,3.632,1.227
Eggs,Fishes,3.816,1.14
Eggs,Fishes,3.763,1.743
Eggs,Fishes,3.895,2.344
Eggs,Fishes,4.289,0.322
Eggs,Fishes,4.368,-0.754
Eggs,Fishes,3.974,-0.839
Eggs,Fishes,2.868,0.154
Eggs,Fishes,2.921,0.024
Eggs,Fishes,3.158,0.153
Eggs,Fishes,3.526,0.195
Eggs,Fishes,3.342,-0.149
Eggs,Fishes,3.605,-0.192
Eggs,Fishes,3.289,-0.407
Eggs,Fishes,3.026,-0.191
Eggs,Amphibians,0.132,-3.968
Eggs,Amphibians,0.842,-3.239
Eggs,Reptiles,1.053,-3.583
Eggs,Reptiles,0.579,-2.98
Eggs,Reptiles,0.947,-2.852
Eggs,Reptiles,4.895,0.32
Eggs,Birds,1.026,-1.906
Eggs,Birds,1.395,-1.477
Eggs,Birds,2.289,-1.393
Eggs,Birds,2.263,-0.963
Eggs,Birds,2.553,-0.448
Eggs,Birds,2.763,-0.792
Eggs,Birds,2.816,-0.276
Eggs,Birds,2.974,-0.621
Eggs,Birds,3.211,-0.449
Eggs,Birds,3.079,-0.191
Eggs,Birds,3.605,-0.063
Eggs,Birds,3.737,0.323
