child.woman,child.man
8.155,13.642
7.482,12.234
6.568,11.267
6.051,11.217
5.979,11.462
6.027,10.513
6.327,10.481
6.905,10.63
7.001,10.565
7.434,10.059
6.941,9.698
6.784,9.616
6.123,9.68
6.027,9.614
6.171,9.255
6.231,9.157
6.388,8.437
6.003,8.649
6.051,8.175
5.967,7.455
6.015,7.243
6.327,7.129
5.606,8.272
5.414,8.108
5.053,7.976
5.618,7.945
5.558,7.716
5.63,7.504
5.558,7.078
5.702,7.079
5.353,7.078
5.305,6.669
5.137,6.374
4.981,6.504
4.812,6.635
4.752,7.027
4.86,6.864
5.005,6.864
4.68,5.98
4.68,5.768
4.836,5.719
4.5,5.718
3.982,5.275
4.211,5.292
4.319,5.096
4.175,4.851
4.403,4.9
3.453,4.947
3.73,4.702
3.814,4.343
3.994,4.245
3.886,3.918
2.948,1.512
3.574,4.195
3.429,4.015
3.429,3.933
3.634,3.901
3.501,3.786
3.393,3.59
3.285,3.786
3.525,3.361
3.706,3.509
3.309,3.41
3.213,3.328
3.297,3.197
3.056,3.556
2.876,3.523
3.068,3.18
3.02,3.016
2.996,2.804
3.129,2.951
2.876,2.983
2.804,2.869
2.792,3.13
2.479,2.868
2.491,2.557
2.467,2.279
2.251,2.36
2.299,2.181
2.094,2.229
2.142,1.984
