group,age,cummulative.survival
Attaractive sire,0,0.998
Attaractive sire,28,0.998
Attaractive sire,28,0.976
Attaractive sire,34,0.976
Attaractive sire,34,0.951
Attaractive sire,36,0.951
Attaractive sire,36,0.927
Attaractive sire,38,0.927
Attaractive sire,38,0.905
Attaractive sire,47,0.905
Attaractive sire,47,0.879
Attaractive sire,65,0.879
Attaractive sire,65,0.856
Attaractive sire,71,0.856
Attaractive sire,71,0.832
Attaractive sire,83,0.832
Attaractive sire,83,0.809
Attaractive sire,172,0.809
Attaractive sire,172,0.786
Attaractive sire,206,0.786
Attaractive sire,206,0.737
Attaractive sire,211,0.737
Attaractive sire,211,0.711
Attaractive sire,219,0.711
Attaractive sire,219,0.688
Attaractive sire,221,0.688
Attaractive sire,221,0.665
Attaractive sire,227,0.665
Attaractive sire,227,0.618
Attaractive sire,229,0.618
Attaractive sire,229,0.593
Attaractive sire,571,0.593
Attaractive sire,571,0.569
Attaractive sire,575,0.569
Attaractive sire,575,0.546
Attaractive sire,581,0.546
Attaractive sire,581,0.523
Attaractive sire,595,0.523
Attaractive sire,595,0.498
Attaractive sire,674,0.498
Attaractive sire,674,0.474
Attaractive sire,943,0.474
Attaractive sire,943,0.451
Attaractive sire,949,0.451
Attaractive sire,949,0.404
Attaractive sire,955,0.404
Attaractive sire,955,0.356
Attaractive sire,957,0.356
Attaractive sire,957,0.33
Attaractive sire,962,0.33
Attaractive sire,962,0.307
Attaractive sire,966,0.307
Attaractive sire,966,0.284
Attaractive sire,1306,0.284
Attaractive sire,1306,0.214
Attaractive sire,1312,0.214
Attaractive sire,1312,0.188
Attaractive sire,1320,0.188
Attaractive sire,1320,0.165
Attaractive sire,1326,0.165
Attaractive sire,1326,0.095
Attaractive sire,1332,0.095
Attaractive sire,1332,0.069
Attaractive sire,1334,0.069
Attaractive sire,1334,0.046
Attaractive sire,1674,0.046
Attaractive sire,1674,0.023
Attaractive sire,1688,0.023
Attaractive sire,1688,0
Unattractive sire,0,0.998
Unattractive sire,18,0.998
Unattractive sire,18,0.943
Unattractive sire,36,0.943
Unattractive sire,36,0.887
Unattractive sire,38,0.887
Unattractive sire,38,0.777
Unattractive sire,43,0.777
Unattractive sire,43,0.722
Unattractive sire,51,0.722
Unattractive sire,51,0.665
Unattractive sire,176,0.665
Unattractive sire,176,0.61
Unattractive sire,194,0.61
Unattractive sire,194,0.555
Unattractive sire,215,0.555
Unattractive sire,215,0.443
Unattractive sire,217,0.443
Unattractive sire,217,0.332
Unattractive sire,223,0.332
Unattractive sire,223,0.275
Unattractive sire,595,0.275
Unattractive sire,595,0.22
Unattractive sire,599,0.22
Unattractive sire,599,0.165
Unattractive sire,951,0.165
Unattractive sire,951,0.109
Unattractive sire,1316,0.109
Unattractive sire,1316,0.054
Unattractive sire,1684,0.054
Unattractive sire,1684,0
