species,setting,day,breeding,breeding2,breeding3
Rana berlandieri,Allopatric,1,3-5,4,Medium
Rana berlandieri,Allopatric,2,3-5,4,Medium
Rana berlandieri,Allopatric,3,3-5,4,Medium
Rana berlandieri,Allopatric,4,3-5,4,Medium
Rana berlandieri,Allopatric,5,3-5,4,Medium
Rana berlandieri,Allopatric,6,3-5,4,Medium
Rana berlandieri,Allopatric,7,<2,1.5,Low
Rana berlandieri,Allopatric,8,<2,1.5,Low
Rana berlandieri,Allopatric,9,<2,1.5,Low
Rana berlandieri,Allopatric,10,<2,1.5,Low
Rana berlandieri,Allopatric,11,<2,1.5,Low
Rana berlandieri,Allopatric,12,<2,1.5,Low
Rana berlandieri,Allopatric,13,<2,1.5,Low
Rana berlandieri,Allopatric,14,<2,1.5,Low
Rana berlandieri,Allopatric,15,<2,1.5,Low
Rana berlandieri,Allopatric,16,<2,1.5,Low
Rana berlandieri,Allopatric,17,<2,1.5,Low
Rana berlandieri,Allopatric,18,<2,1.5,Low
Rana berlandieri,Allopatric,19,<2,1.5,Low
Rana berlandieri,Allopatric,20,<2,1.5,Low
Rana berlandieri,Allopatric,21,<2,1.5,Low
Rana berlandieri,Allopatric,22,<2,1.5,Low
Rana berlandieri,Allopatric,23,<2,1.5,Low
Rana berlandieri,Allopatric,24,<2,1.5,Low
Rana berlandieri,Allopatric,25,<2,1.5,Low
Rana berlandieri,Allopatric,26,<2,1.5,Low
Rana berlandieri,Allopatric,27,<2,1.5,Low
Rana berlandieri,Allopatric,28,<2,1.5,Low
Rana berlandieri,Allopatric,29,<2,1.5,Low
Rana berlandieri,Allopatric,30,<2,1.5,Low
Rana berlandieri,Allopatric,31,<2,1.5,Low
Rana berlandieri,Allopatric,32,<2,1.5,Low
Rana berlandieri,Allopatric,33,<2,1.5,Low
Rana berlandieri,Allopatric,34,<2,1.5,Low
Rana berlandieri,Allopatric,35,<2,1.5,Low
Rana berlandieri,Allopatric,36,<2,1.5,Low
Rana berlandieri,Allopatric,37,<2,1.5,Low
Rana berlandieri,Allopatric,38,<2,1.5,Low
Rana berlandieri,Allopatric,39,<2,1.5,Low
Rana berlandieri,Allopatric,40,<2,1.5,Low
Rana berlandieri,Allopatric,41,<2,1.5,Low
Rana berlandieri,Allopatric,42,<2,1.5,Low
Rana berlandieri,Allopatric,43,<2,1.5,Low
Rana berlandieri,Allopatric,44,<2,1.5,Low
Rana berlandieri,Allopatric,45,<2,1.5,Low
Rana berlandieri,Allopatric,46,<2,1.5,Low
Rana berlandieri,Allopatric,47,<2,1.5,Low
Rana berlandieri,Allopatric,48,<2,1.5,Low
Rana berlandieri,Allopatric,49,<2,1.5,Low
Rana berlandieri,Allopatric,50,<2,1.5,Low
Rana berlandieri,Allopatric,51,<2,1.5,Low
Rana berlandieri,Allopatric,52,<2,1.5,Low
