group,line,sex,generation,longevity
A,Small populations,females,0,35.8
A,Small populations,females,6,31.9
A,Small populations,females,12,30.5
A,Small populations,females,24,30.4
B,Large populations,females,0,35.8
B,Large populations,females,6,32.7
B,Large populations,females,12,31.4
B,Large populations,females,24,28.8
C,Large populations,males,0,29
C,Large populations,males,6,28.1
C,Large populations,males,12,26.4
C,Large populations,males,24,25.2
D,Small populations,males,0,29
D,Small populations,males,6,26.9
D,Small populations,males,12,26.3
D,Small populations,males,24,25.4
