energy.exp,lifespan
-0.501,0.921
-0.455,0.683
-0.552,0.492
-0.384,0.516
-0.022,0.611
0.058,0.617
0.079,0.868
0.104,0.808
0.491,1.017
1.3,-0.629
0.645,0.206
0.473,0.063
0.347,0.355
0.639,-1.017
0.442,-1.136
0.51,-0.564
0.594,-0.409
0.472,-0.301
0.439,-0.403
0.325,-0.385
0.304,-0.474
0.262,-0.361
0.237,-0.325
0.158,0.188
0.082,0.158
0.082,0.098
0.07,0.456
0.003,0.307
-0.035,0.236
-0.082,0.206
-0.027,0.081
0.115,-0.122
-0.036,-0.152
-0.074,-0.188
-0.103,-0.045
-0.216,0.128
-0.178,0.122
-0.266,0.301
-0.573,0.057
-0.456,-0.027
-0.368,-0.015
-0.3,-0.015
-0.179,-0.271
-0.146,-0.462
0.018,-0.57
0.077,-0.689
0.047,-0.754
