group,sex,treatment,line,generation,response
1,Females,Long life,1,-0.004406232,0.87262489
1,Females,Long life,1,0.993080465,0.668951969
1,Females,Long life,1,2.00118507,5.047251672
1,Females,Long life,1,3.023526418,7.389394819
1,Females,Long life,1,4.007531953,7.840071263
1,Females,Long life,1,5.018340743,7.272955755
1,Females,Long life,1,6.039807207,11.21508618
2,Females,Long life,2,-0.003133674,-1.454629328
2,Females,Long life,2,0.992046512,2.55984602
2,Females,Long life,2,2.004446,-0.91633726
2,Females,Long life,2,3.011635953,5.134676412
2,Females,Long life,2,4.021609627,6.094821484
2,Females,Long life,2,5.004740279,8.145485203
2,Females,Long life,2,6.0394493,11.86962642
3,Females,Short life,1,-0.017092046,0.072440369
3,Females,Short life,1,0.993836047,-0.712855223
3,Females,Short life,1,2.018762278,-3.097947205
3,Females,Short life,1,3.003881302,-4.683618201
3,Females,Short life,1,4.000135209,-2.632763598
3,Females,Short life,1,4.997184465,-2.036442882
3,Females,Short life,1,6.007118372,-1.003571116
4,Females,Short life,2,-0.003650651,-0.509182302
4,Females,Short life,2,1.007754651,-2.167198225
4,Females,Short life,2,2.019080418,-3.679760759
4,Females,Short life,2,3.005074325,-6.86541903
4,Females,Short life,2,3.989477535,-7.142009528
4,Females,Short life,2,5.024266092,-3.563321695
4,Females,Short life,2,6.007595581,-1.876291448
5,Males,Long life,1,-0.005221932,0.441525573
5,Males,Long life,1,0.98694517,0.750612696
5,Males,Long life,1,1.992167102,4.961732528
5,Males,Long life,1,2.984334204,5.418058915
5,Males,Long life,1,3.976501305,7.273158308
5,Males,Long life,1,4.981723238,8.539492864
5,Males,Long life,1,5.960835509,11.20421599
6,Males,Long life,2,0.007832898,-0.073619632
6,Males,Long life,2,0.98694517,0.014416377
6,Males,Long life,2,1.992167102,1.501609829
6,Males,Long life,2,2.971279373,0.927069151
6,Males,Long life,2,3.963446475,4.769898605
6,Males,Long life,2,4.981723238,5.447468324
6,Males,Long life,2,5.973890339,7.670665876
7,Males,Short life,1,0.007832898,-0.588957055
7,Males,Short life,1,0.98694517,-3.74018485
7,Males,Short life,1,1.992167102,-0.706979128
7,Males,Short life,1,2.997389034,-3.784202854
7,Males,Short life,1,3.989556136,-4.137692419
7,Males,Short life,1,4.968668407,-3.828797514
7,Males,Short life,1,5.98694517,-4.697240065
8,Males,Short life,2,0.007832898,-1.398773006
8,Males,Short life,2,1,-3.003796313
8,Males,Short life,2,1.992167102,-3.725384036
8,Males,Short life,2,2.984334204,-5.919364398
8,Males,Short life,2,3.976501305,-5.831136171
8,Males,Short life,2,4.968668407,-5.59566868
8,Males,Short life,2,5.973890339,-6.243444553
