group,pathogen,antibiotic,year,resistent
A,Streptococcus pneumoniae,Tetracycline,1985,15.9
A,Streptococcus pneumoniae,Tetracycline,1986,16.5
A,Streptococcus pneumoniae,Tetracycline,1987,16.8
A,Streptococcus pneumoniae,Tetracycline,1988,10.4
A,Streptococcus pneumoniae,Tetracycline,1989,16.7
A,Streptococcus pneumoniae,Tetracycline,1990,16.9
A,Streptococcus pneumoniae,Tetracycline,1991,14
A,Streptococcus pneumoniae,Tetracycline,1992,15.4
A,Streptococcus pneumoniae,Tetracycline,1993,12.3
A,Streptococcus pneumoniae,Tetracycline,1994,14.6
A,Streptococcus pneumoniae,Tetracycline,1995,15.5
A,Streptococcus pneumoniae,Tetracycline,1996,18.1
A,Streptococcus pneumoniae,Tetracycline,1997,23
A,Streptococcus pneumoniae,Tetracycline,1998,27.5
A,Streptococcus pneumoniae,Tetracycline,1999,28.7
A,Streptococcus pneumoniae,Tetracycline,2000,31.4
A,Streptococcus pneumoniae,Tetracycline,2001,29.8
A,Streptococcus pneumoniae,Tetracycline,2002,30.3
A,Streptococcus pneumoniae,Tetracycline,2003,29.7
A,Streptococcus pneumoniae,Tetracycline,2004,28.2
A,Streptococcus pneumoniae,Tetracycline,2005,24.9
A,Streptococcus pneumoniae,Tetracycline,2006,27
A,Streptococcus pneumoniae,Tetracycline,2007,22.5
B,Streptococcus pneumoniae,Erythromycin,1986,4.9
B,Streptococcus pneumoniae,Erythromycin,1987,7.9
B,Streptococcus pneumoniae,Erythromycin,1988,11.3
B,Streptococcus pneumoniae,Erythromycin,1989,11.9
B,Streptococcus pneumoniae,Erythromycin,1990,16.7
B,Streptococcus pneumoniae,Erythromycin,1991,15.2
B,Streptococcus pneumoniae,Erythromycin,1992,18.7
B,Streptococcus pneumoniae,Erythromycin,1993,21.1
B,Streptococcus pneumoniae,Erythromycin,1994,22.3
B,Streptococcus pneumoniae,Erythromycin,1995,23.8
B,Streptococcus pneumoniae,Erythromycin,1996,25.5
B,Streptococcus pneumoniae,Erythromycin,1997,28
B,Streptococcus pneumoniae,Erythromycin,1998,30.5
B,Streptococcus pneumoniae,Erythromycin,1999,33.5
B,Streptococcus pneumoniae,Erythromycin,2000,35.8
B,Streptococcus pneumoniae,Erythromycin,2001,36
B,Streptococcus pneumoniae,Erythromycin,2002,35.4
B,Streptococcus pneumoniae,Erythromycin,2003,35.4
B,Streptococcus pneumoniae,Erythromycin,2004,34.6
B,Streptococcus pneumoniae,Erythromycin,2005,31.1
B,Streptococcus pneumoniae,Erythromycin,2006,30.5
B,Streptococcus pneumoniae,Erythromycin,2007,24.4
C,Streptococcus pneumoniae,Penicillin,1985,0.9
C,Streptococcus pneumoniae,Penicillin,1986,1.9
C,Streptococcus pneumoniae,Penicillin,1987,2.6
C,Streptococcus pneumoniae,Penicillin,1988,0.9
C,Streptococcus pneumoniae,Penicillin,1989,2.6
C,Streptococcus pneumoniae,Penicillin,1990,4
C,Streptococcus pneumoniae,Penicillin,1991,3
C,Streptococcus pneumoniae,Penicillin,1992,3.8
C,Streptococcus pneumoniae,Penicillin,1993,1.8
C,Streptococcus pneumoniae,Penicillin,1994,7.3
C,Streptococcus pneumoniae,Penicillin,1995,6.7
C,Streptococcus pneumoniae,Penicillin,1996,9.2
C,Streptococcus pneumoniae,Penicillin,1997,9.5
C,Streptococcus pneumoniae,Penicillin,1998,13.8
C,Streptococcus pneumoniae,Penicillin,1999,16.5
C,Streptococcus pneumoniae,Penicillin,2000,17.2
C,Streptococcus pneumoniae,Penicillin,2001,14.4
C,Streptococcus pneumoniae,Penicillin,2002,14.5
C,Streptococcus pneumoniae,Penicillin,2003,12.5
C,Streptococcus pneumoniae,Penicillin,2004,11.1
C,Streptococcus pneumoniae,Penicillin,2005,12.5
C,Streptococcus pneumoniae,Penicillin,2006,9.9
C,Streptococcus pneumoniae,Penicillin,2007,9.4
D,Streptococcus pyogenes,Erythromycin,2002,17
D,Streptococcus pyogenes,Erythromycin,2003,11.4
D,Streptococcus pyogenes,Erythromycin,2004,7.4
D,Streptococcus pyogenes,Erythromycin,2005,4.1
D,Streptococcus pyogenes,Erythromycin,2006,3.2
D,Streptococcus pyogenes,Erythromycin,2007,2
