SEX,Survival,pop.size,pop.size.prev,Fhat3,MatFhat3,Density
2,1,290,211,-0.0228884,0.0230195,Low
2,1,290,211,0.0175613,0.0129845,Low
1,0,290,211,-0.000706526,0.0129845,Low
1,1,290,211,0.0136473,-0.00933612,Low
2,1,290,211,-0.0466044,0.0239365,Low
2,1,290,211,0.0282624,-0.0153414,Low
2,1,290,211,0.0189211,-0.0298745,Low
1,1,290,211,0.0232259,-0.00112828,Low
1,1,290,211,-0.0169381,-0.0194843,Low
2,0,290,211,-0.00277163,-0.0679467,Low
2,0,290,211,-0.0246233,-0.0156984,Low
2,1,290,211,-0.0283861,0.00131612,Low
1,1,290,211,-0.0461215,0.00131612,Low
1,1,290,211,0.0122866,-0.0205386,Low
1,0,290,211,-0.00154162,-0.00462626,Low
2,1,290,211,-0.0097947,-0.00462626,Low
1,1,290,211,-0.0336857,-0.00298911,Low
2,1,290,211,-0.0128731,0.000470183,Low
1,0,290,211,-0.00944301,0.0193951,Low
1,1,290,211,-0.0205868,-0.0586165,Low
1,1,290,211,-0.0367469,-0.0586165,Low
1,1,290,211,-0.00605648,-0.0153665,Low
2,1,290,211,-0.0303988,-0.0110474,Low
2,1,290,211,0.0165234,-0.0110474,Low
1,1,290,211,-0.00469445,0.00481593,Low
2,1,290,211,-0.0266288,-0.00971986,Low
1,1,290,211,0.0150971,-0.00971986,Low
1,1,290,211,0.0373364,-0.00218145,Low
1,1,290,211,0.0285353,0.00563373,Low
1,1,290,211,0.0336029,0.00140208,Low
1,1,290,211,-0.0103023,-0.0141721,Low
1,1,290,211,0.0210436,-0.0180991,Low
1,1,290,211,-0.0437647,-0.0115608,Low
1,1,290,211,0.00483539,-0.045707,Low
1,1,290,211,0.0129887,-0.0196544,Low
1,1,290,211,0.0157588,0.0365382,Low
1,1,290,211,-0.0237038,0.0566218,Low
2,1,290,211,0.00387034,-0.0427533,Low
1,1,290,211,0.000887011,-0.00115031,Low
2,1,290,211,0.0296545,0.02911,Low
1,1,290,211,0.00735729,0.02911,Low
1,1,290,211,-0.0367599,0.0444078,Low
1,1,290,211,0.00294973,-0.0258393,Low
1,1,290,211,-0.0199272,0.0305395,Low
1,1,290,211,-0.0447254,0.0305395,Low
2,1,290,211,0.00978141,-0.0159996,Low
2,1,290,211,-0.0120809,-0.0502031,Low
2,1,290,211,-0.0303941,0.00410781,Low
2,1,290,211,-0.00401566,-0.0143185,Low
1,0,290,211,0.0138287,0.0171733,Low
2,1,290,211,-0.0173945,0.0121915,Low
1,1,290,211,0.00748271,0.044664,Low
2,1,290,211,-0.0200838,-0.00223706,Low
2,1,290,211,0.00760061,0.000523496,Low
1,1,290,211,0.00213908,-0.0145207,Low
2,1,290,211,-0.00867426,0.00194445,Low
1,1,290,211,0.0164089,-0.0203103,Low
1,1,290,211,-0.0329796,-0.0219129,Low
1,1,290,211,0.024871,-0.0294898,Low
1,0,290,211,-0.00621097,-0.0369377,Low
2,1,290,211,-0.0057554,0.041079,Low
2,1,290,211,0.0129579,-0.0426187,Low
2,1,290,211,0.0238385,-0.0184544,Low
2,1,290,211,0.0120812,0.00447446,Low
1,1,290,211,0.0417011,-0.0232324,Low
1,1,321,414,-0.00882678,-0.0430078,Low
2,1,321,414,0.015018,-0.0430078,Low
1,1,321,414,0.0191145,-0.0149599,Low
2,1,321,414,-0.00658843,-0.0149599,Low
2,1,321,414,0.0347896,-0.0149599,Low
1,1,321,414,0.00607898,-0.00476325,Low
1,1,321,414,0.0226486,0.00707531,Low
