Period,year,base.change.index
Historical,1958.6,0.062
Contemorary,1983.3,0.132
Contemorary,1983.3,0.12
Contemorary,1984.2,0.13
Contemorary,1984.2,0.124
Contemorary,1984.2,0.122
Contemorary,1984.2,0.108
Contemorary,1984.2,0.112
Contemorary,1984.3,0.129
Contemorary,1984.3,0.126
Contemorary,1985.2,0.173
Contemorary,1985.2,0.122
Contemorary,1985.2,0.116
Contemorary,1985.2,0.114
Contemorary,1985.2,0.086
Contemorary,1986.2,0.149
Contemorary,1986.2,0.111
Contemorary,1986.2,0.099
Contemorary,1986.3,0.155
Contemorary,1986.3,0.123
Contemorary,1986.3,0.117
Contemorary,1986.3,0.116
Contemorary,1986.3,0.114
Contemorary,1986.3,0.108
Contemorary,1986.3,0.13
Contemorary,1986.3,0.094
Contemorary,1986.3,0.083
Contemorary,1987.1,0.145
Contemorary,1987.2,0.121
Contemorary,1987.2,0.113
Contemorary,1987.2,0.109
Contemorary,1987.2,0.111
Contemorary,1987.3,0.13
Contemorary,1988.1,0.173
Contemorary,1988.2,0.13
Contemorary,1988.3,0.096
Contemorary,1989.2,0.14
Contemorary,1989.2,0.113
Contemorary,1989.3,0.165
Contemorary,1989.9,0.172
Contemorary,1990.1,0.199
Contemorary,1990.1,0.153
Contemorary,1990.1,0.135
Contemorary,1990.2,0.114
Contemorary,1990.3,0.157
Contemorary,1990.3,0.133
Contemorary,1990.3,0.125
Contemorary,1991.1,0.084
Contemorary,1991.2,0.169
Contemorary,1991.2,0.136
Contemorary,1991.2,0.121
Contemorary,1991.2,0.109
Contemorary,1991.2,0.107
Contemorary,1991.2,0.106
Contemorary,1991.2,0.077
Contemorary,1991.3,0.142
Contemorary,1991.3,0.134
Contemorary,1991.3,0.129
Contemorary,1991.3,0.127
Contemorary,1991.3,0.095
Contemorary,1991.4,0.093
Contemorary,1992,0.173
Contemorary,1992,0.163
Contemorary,1992.1,0.158
Contemorary,1992.1,0.156
Contemorary,1992.1,0.142
Contemorary,1992.1,0.077
Contemorary,1992.2,0.151
Contemorary,1992.2,0.149
Contemorary,1992.2,0.146
Contemorary,1992.2,0.134
Contemorary,1992.2,0.125
Contemorary,1992.2,0.121
Contemorary,1992.2,0.118
Contemorary,1992.2,0.113
Contemorary,1992.2,0.105
Contemorary,1993,0.178
Contemorary,1993,0.17
Contemorary,1993.1,0.204
Contemorary,1993.1,0.163
Contemorary,1993.1,0.159
Contemorary,1993.1,0.151
Contemorary,1993.1,0.126
Contemorary,1993.2,0.141
Contemorary,1993.2,0.136
Contemorary,1993.2,0.135
Contemorary,1993.2,0.131
Contemorary,1993.2,0.118
Contemorary,1993.2,0.115
Contemorary,1993.2,0.107
Contemorary,1993.2,0.099
Contemorary,1994,0.164
Contemorary,1994.1,0.169
Contemorary,1994.1,0.149
Contemorary,1994.1,0.138
Contemorary,1994.2,0.178
Contemorary,1994.2,0.173
Contemorary,1994.2,0.166
Contemorary,1994.2,0.16
Contemorary,1994.2,0.153
Contemorary,1994.2,0.148
Contemorary,1994.2,0.106
Contemorary,1994.3,0.155
Contemorary,1994.3,0.151
Contemorary,1994.3,0.141
Contemorary,1994.3,0.135
Contemorary,1994.5,0.097
Contemorary,1995.1,0.147
Contemorary,1995.1,0.146
Contemorary,1995.1,0.144
Contemorary,1995.1,0.142
Contemorary,1995.1,0.114
Contemorary,1995.1,0.115
Contemorary,1995.1,0.118
Contemorary,1995.1,0.121
Contemorary,1995.2,0.164
Contemorary,1995.2,0.141
Contemorary,1995.2,0.135
Contemorary,1995.3,0.167
Contemorary,1996,0.191
Contemorary,1996,0.17
Contemorary,1996.2,0.161
Contemorary,1996.2,0.143
Contemorary,1996.3,0.155
Contemorary,1997.1,0.169
Contemorary,1997.1,0.108
Contemorary,1997.3,0.138
Contemorary,1997.3,0.132
Contemorary,1997.3,0.13
