Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,1,B,17,B17,bordure,bordure,NA,NA,NA,NA,,5,1041.438,,,,,1041.44,5
High elevation,1,B,16,B16,bordure,bordure,NA,NA,NA,NA,238,5,552.92,,,,238,552.92,5
High elevation,1,C,15,C15,bordure,bordure,NA,NA,NA,NA,,5,1005.31,,,,,1005.31,5
High elevation,1,C,11,C11,bordure,bordure,NA,NA,NA,NA,,5,1625.774,,,,,1625.77,5
High elevation,1,D,12,D12,bordure,bordure,NA,NA,NA,NA,316.8,5,1074.425,,,,316.8,1074.43,5
High elevation,2,B,11,B11,PIC-18,PIC,Lautaret,2930,South,NA,0,5,54.978,,,,0,54.98,5
High elevation,3,C,4,C4,PIC-11,PIC,Lautaret,2930,South,NA,,5,95.033,,,,,95.03,5
High elevation,4,E,6,E6,bordure,bordure,NA,NA,NA,NA,360,5,1378.374,,,,360,1378.37,5
Low elevation,3,D,8,D8,F107-41,F107,Vercors,1704,NA,S,0,5,78.54,,,,0,78.54,5
High elevation,5,C,8,C8,FGAL-131,FGAL,Lautaret,2600,North,R,0,7,120.166,,,,0,120.17,7
High elevation,5,E,2,E2,FGAL-133,FGAL,Lautaret,2600,North,NA,0,7,35.343,,,,0,35.34,7
High elevation,1,D,15,D15,CHA-14,CHA,Vercors,1480,North,NA,,8,848.23,,,,,848.23,8
High elevation,2,A,13,A13,LAU-1,LAU,Lautaret,2090,North,R,0,8,358.142,,,,0,358.14,8
High elevation,2,D,9,D9,FGAL-131,FGAL,Lautaret,2600,North,R,470.4,8,659.734,,,,470.4,659.73,8
High elevation,3,A,18,A18,F005-35,F005,Vercors,1842,NA,NR,2246.4,11,400.553,154,274.75,5,1200.2,337.65,8
High elevation,4,A,9,A9,F107-3,F107,Vercors,1704,NA,NA,,8,125.664,,,,,125.66,8
High elevation,5,D,7,D7,bordure,bordure,NA,NA,NA,NA,560,8,505.796,,,,560,505.8,8
High elevation,5,E,5,E5,BRU-9,BRU,Vercors,930,South,NR,2194.2,11,235.619,831.6,314,5,1512.9,274.81,8
High elevation,1,D,14,D14,BRU-19,BRU,Vercors,930,South,I,2580.6,9,314.159,,,,2580.6,314.16,9
High elevation,2,D,13,D13,GAL-6,GAL,Lautaret,2590,North,NA,0,9,219.911,,,,0,219.91,9
High elevation,3,A,1,A1,bordure,bordure,NA,NA,NA,NA,,9,1005.31,,,,,1005.31,9
High elevation,3,E,15,E15,VIL-1,VIL,Vercors,1980,South,NA,,9,43.982,,,,,43.98,9
High elevation,5,B,8,B8,F005-32,F005,Vercors,1842,NA,NR,2050,9,570.199,642.6,942,10,1346.3,756.1,9.5
High elevation,1,B,14,B14,FGAL-130,FGAL,Lautaret,2600,North,R,0,10,895.354,,,,0,895.35,10
High elevation,1,E,19,E19,FGAL-127,FGAL,Lautaret,2600,North,NA,,10,364.425,,,,,364.43,10
High elevation,2,B,17,B17,LAU-8,LAU,Lautaret,2090,North,R,0,10,226.195,,,,0,226.2,10
High elevation,2,D,2,D2,FGAL-127,FGAL,Lautaret,2600,North,TR,280,10,819.956,456,1256,10,368,1037.98,10
High elevation,3,D,1,D1,bordure,bordure,NA,NA,NA,NA,,10,1201.659,,,,,1201.66,10
High elevation,5,A,18,A18,BRU-1,BRU,Vercors,930,South,NR,852.6,10,502.655,2145,1295.25,10,1498.8,898.95,10
Low elevation,2,B,12,B12,FGAL-130,FGAL,Lautaret,2600,North,S,0,10,19.635,,,,0,19.64,10
Low elevation,2,B,9,B9,FGAL-129,FGAL,Lautaret,2600,North,S,0,10,78.54,,,,0,78.54,10
Low elevation,2,B,7,B7,F029-31,F029,Lautaret,1894,NA,S,0,10,78.54,,,,0,78.54,10
Low elevation,3,D,15,D15,FGAL-129,FGAL,Lautaret,2600,North,S,0,10,78.54,,,,0,78.54,10
High elevation,2,A,16,A16,VIL-7,VIL,Vercors,1980,South,NA,0,11,751.626,,,,0,751.63,11
High elevation,3,B,12,B12,bordure,bordure,NA,NA,NA,NA,,11,245.044,,,,,245.04,11
High elevation,3,E,12,E12,bordure,bordure,NA,NA,NA,I,0,11,235.619,,,,0,235.62,11
High elevation,4,E,15,E15,bordure,bordure,NA,NA,NA,NA,279,11,535.642,,,,279,535.64,11
High elevation,5,A,16,A16,F029-31,F029,Lautaret,1894,NA,R,0,11,240.332,,,,0,240.33,11
High elevation,5,C,6,C6,F107-6,F107,Vercors,1704,NA,NR,414.8,11,326.726,,,,414.8,326.73,11
High elevation,1,A,19,A19,GAL-1,GAL,Lautaret,2590,North,R,0,12,175.929,,,,0,175.93,12
High elevation,1,A,16,A16,LAU-3,LAU,Lautaret,2090,North,R,0,12,1099.557,,,,0,1099.56,12
High elevation,1,A,10,A10,BRU-20,BRU,Vercors,930,South,NA,,12,113.883,,,,,113.88,12
High elevation,2,A,14,A14,F107-6,F107,Vercors,1704,NA,NR,527,14,173.573,164.8,235.5,10,345.9,204.54,12
High elevation,2,D,6,D6,F107-8,F107,Vercors,1704,NA,NR,2705.6,12,610.254,,,,2705.6,610.25,12
High elevation,3,B,9,B9,bordure,bordure,NA,NA,NA,NR,261,12,439.823,,,,261,439.82,12
High elevation,4,B,10,B10,bordure,bordure,NA,NA,NA,NA,117,12,461.814,,,,117,461.81,12
High elevation,2,B,16,B16,VIL-12,VIL,Vercors,1980,South,NR,1185.6,15,659.734,0,706.5,10,592.8,683.12,12.5
High elevation,3,C,13,C13,GAL-20,GAL,Lautaret,2590,North,I,789.6,13,318.086,,,,789.6,318.09,13
High elevation,3,D,17,D17,BRU-19,BRU,Vercors,930,South,I,679.8,13,427.257,,,,679.8,427.26,13
High elevation,3,D,16,D16,VIL-12,VIL,Vercors,1980,South,R,0,13,188.496,,,,0,188.5,13
High elevation,5,A,2,A2,F107-43,F107,Vercors,1704,NA,I,1248,13,1204.801,,,,1248,1204.8,13
High elevation,5,E,6,E6,FGAL-129,FGAL,Lautaret,2600,North,R,345.6,13,1456.914,,,,345.6,1456.91,13
High elevation,2,A,5,A5,F107-41,F107,Vercors,1704,NA,I,225.6,12,162.577,1297.2,588.75,15,761.4,375.66,13.5
High elevation,5,C,9,C9,CHA-17,CHA,Vercors,1480,North,I,2401.2,22,2144.137,344.4,392.5,5,1372.8,1268.32,13.5
High elevation,1,B,18,B18,bordure,bordure,NA,NA,NA,R,172.2,14,596.903,,,,172.2,596.9,14
High elevation,1,D,10,D10,bordure,bordure,NA,NA,NA,NA,238,14,803.462,,,,238,803.46,14
High elevation,1,E,15,E15,F029-30,F029,Lautaret,1894,NA,R,442.8,14,1553.518,,,,442.8,1553.52,14
