group,latitude,body.size
Wild-caught,42.9,1.37452
Wild-caught,38.02,1.42352
Wild-caught,43.21,1.4686
Wild-caught,42.51,1.48666
Wild-caught,43.12,1.4917
Wild-caught,46.62,1.43962
Wild-caught,38.36,1.51522
Wild-caught,44.8,1.54966
Wild-caught,41.66,1.59712
Wild-caught,46.41,1.5932
Wild-caught,47.04,1.60622
Wild-caught,48.35,1.62974
Wild-caught,52.8,1.67552
Wild-caught,52.24,1.63436
Wild-caught,54.57,1.61602
Wild-caught,58.31,1.63478
Laboratory-reared,37.94,1.53916
Laboratory-reared,38.35,1.53636
Laboratory-reared,41.7,1.57794
Laboratory-reared,42.52,1.58186
Laboratory-reared,43.09,1.54616
Laboratory-reared,42.84,1.55918
Laboratory-reared,43.22,1.56184
Laboratory-reared,44.77,1.55876
Laboratory-reared,46.42,1.57094
Laboratory-reared,46.64,1.56184
Laboratory-reared,47,1.57906
Laboratory-reared,48.39,1.6023
Laboratory-reared,52.32,1.5862
Laboratory-reared,52.84,1.58032
Laboratory-reared,54.63,1.58732
Laboratory-reared,58.3,1.59474
