host,female.mass,egg.size
Acacia greggii,2.3,0.397
Acacia greggii,2.4,0.396
Acacia greggii,2.5,0.403
Acacia greggii,2.5,0.413
Acacia greggii,2.6,0.43
Acacia greggii,2.6,0.416
Acacia greggii,2.6,0.406
Acacia greggii,2.6,0.399
Acacia greggii,2.5,0.38
Acacia greggii,2.6,0.385
Acacia greggii,2.6,0.376
Acacia greggii,2.7,0.427
Acacia greggii,2.7,0.413
Acacia greggii,2.7,0.409
Acacia greggii,2.7,0.403
Acacia greggii,2.7,0.393
Acacia greggii,2.8,0.4
Acacia greggii,2.8,0.393
Acacia greggii,2.8,0.39
Acacia greggii,2.8,0.42
Acacia greggii,2.9,0.443
Acacia greggii,2.9,0.41
Acacia greggii,2.9,0.4
Acacia greggii,2.9,0.397
Acacia greggii,2.9,0.397
Acacia greggii,2.9,0.382
Acacia greggii,3,0.408
Acacia greggii,3,0.393
Acacia greggii,3,0.433
Acacia greggii,3.1,0.423
Acacia greggii,3.2,0.43
Acacia greggii,3.2,0.419
Acacia greggii,3.1,0.402
Acacia greggii,3.1,0.4
Acacia greggii,3.2,0.396
Acacia greggii,3.2,0.385
Acacia greggii,3.3,0.407
Acacia greggii,3.3,0.4
Acacia greggii,3.3,0.39
Acacia greggii,3.3,0.427
Acacia greggii,3.3,0.436
Acacia greggii,3.5,0.41
Acacia greggii,3.5,0.407
Acacia greggii,3.4,0.39
Acacia greggii,3.4,0.38
Acacia greggii,3.5,0.395
Acacia greggii,3.7,0.4
Acacia greggii,3.6,0.36
Acacia greggii,3.9,0.41
Acacia greggii,3.9,0.393
Cercidium floridum,2.3,0.445
Cercidium floridum,2.4,0.43
Cercidium floridum,2.5,0.46
Cercidium floridum,2.5,0.455
Cercidium floridum,2.6,0.46
Cercidium floridum,2.6,0.443
Cercidium floridum,2.6,0.42
Cercidium floridum,2.6,0.413
Cercidium floridum,2.8,0.45
Cercidium floridum,2.7,0.437
Cercidium floridum,2.8,0.43
Cercidium floridum,2.8,0.413
Cercidium floridum,2.8,0.41
Cercidium floridum,2.9,0.437
Cercidium floridum,2.9,0.447
Cercidium floridum,3,0.457
Cercidium floridum,3,0.453
Cercidium floridum,3,0.448
Cercidium floridum,3,0.42
Cercidium floridum,3,0.415
Cercidium floridum,3,0.412
Cercidium floridum,3.1,0.373
Cercidium floridum,3.1,0.413
Cercidium floridum,3.1,0.43
Cercidium floridum,3.1,0.44
Cercidium floridum,3.1,0.46
Cercidium floridum,3.2,0.465
Cercidium floridum,3.2,0.447
Cercidium floridum,3.2,0.435
Cercidium floridum,3.2,0.413
Cercidium floridum,3.3,0.425
Cercidium floridum,3.3,0.42
Cercidium floridum,3.3,0.45
Cercidium floridum,3.5,0.467
Cercidium floridum,3.5,0.45
Cercidium floridum,3.5,0.44
Cercidium floridum,3.5,0.432
Cercidium floridum,3.4,0.425
Cercidium floridum,3.4,0.42
Cercidium floridum,3.6,0.447
Cercidium floridum,3.6,0.438
Cercidium floridum,3.6,0.433
Cercidium floridum,3.7,0.447
Cercidium floridum,3.7,0.46
Cercidium floridum,3.8,0.446
Cercidium floridum,3.9,0.48
